dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	One of those doctors that always seemed to really care about me.  I had him for several prenatal visits (requested him specifically), and I've only had one visit when he wasn't cheerful and smiling (sounded like he had a tense conversation outside the door of the exam room with a nurse right before my visit, so that's probably why).  But him on a bad day was like most doctors on a normal day!  When I mentioned thinking about trying to concienve my second child at a routine well woman exam, he was so excited for me it got me excited!  If I didn't have questions, the visits were quick, but if I had a question he always stopped to discuss it.  	4	4	5	4 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Jenet is a superb physician - I am very happy that I found him for my gyn concerns. He addressed my problems perfectly. He is extraordinarily competent, punctual, and knowledgeable. Dr. Jenet listened to me, examined me, diagnosed my problems, and presented the best course of action. The staff is also helpful, and polite.  	5	5	5	5 	Insurance:Aetna
1	-1	Doesnt listen, delivered my baby and he made me feel very uncomfortable.  	5	5	1	1 	Insurance:Blue Cross / Blue Shield
1	0	Bottomline, there are better Ob/GYN's available. 	1	2	2	3 	Insurance:Unknown
2	1	very good doctor like me he is stubbon but we get along fine . he knows his medicine.just do what he tells you to do.  	5	5	5	5 	Insurance:Medicare
2	1	I have been going to him since I was little. He is a great doctor and very knowledgable! I have moved out of town and still travel to go see him when I'm sick.  	5	5	5	5 	Insurance:Anthem
2	1	Dr. Jernigan has been my PCP for about 10 yrs now.  He's a &quot;straight-shooter&quot;.  We've developed an excellent working relationship over the years based on mutual respect and trust.  He's compassionate and supportive without coddling.   Also, if he doesn't know something, he isn't afraid to admit it, and doesn't hesitate to look it up!  Quite a refreshing quality in a Doc! 	5	4	5	5 	Insurance:Anthem
2	1	 	4	4	5	4 	Insurance:Unknown
3	-1	 	4	4	1	1 	Insurance:Unknown
4	1	He was my PCP in Minnesota before he moved to VA. I highly recommend him! He is very personable & takes it personally if he can't fix whatever your problem is. He will try very hard to help you or find some who can if he can't. He's not afraid to admit it when your problem is beyond his expertise. He's got a great sense of humor too! You folks in VA are lucky to have him. 		4	5	5 	Insurance:Unknown
5	1	The best doctor I have ever had!  Bar none.  	5	5	5	5 	Insurance:Anthem
6	1	Dr. Jama gets to know her patients as  individuals and there unique healthcare needs. I would Recommends Dr. Jama to family and friends.  	5	5	5	5 	Insurance:Aetna
6	1	Dr Jama and her staff were very pleasant. I went to Dr. Jama with multiple issues—high blood pressure and kidneys issues. Dr. Jama put me at ease by meticulously explaining treatment options and overall management of my health issues. She had not only treated me; she empowered me. Within several days my blood pressure came down and I regained my energy. I also made diet and life style changes that Dr. Jama recommended and I truly feel a million bucks. My previous doctors never took the time to explain things to me. Our relationship was mainly a doctor to patient—one way. I like Dr. Jama’s bedside matters and her comprehensive healthcare approach. I absolutely recommend Dr. Jama to anyone, as I have already recommended her to my family and friends.  	5	5	5	5 	Insurance:United Healthcare
7	1	all I can say is that, I am driving all the way from Leesburg to Fairfax to see her. She is very professional, and pleasant, and always goes above and beyond to make me comfortable. 	 2/27/12	5	5	5	Insurance:Unknown
7	1	The best dentist ever. I was very sad to hear she had left the leesburg practice, however I was able to find her at her new office. My entire my family &amp; I will only see her for as long as she works. she is so kind, so gentle, and really takes the time to answer all my questions, and her work is beautiful. I had a nice big white beautiful smile thanks to her for my wedding. 	 1/29/12	5	5	5	Insurance:Unknown
7	1	I have been to many dentist due to  the poor shape my teeth have always been in and in all honesty, Dr.Jahangiri is the only dentist that helped me. She is caring, professional and very good at what she does. She is the only dentist I have ever trusted. 	 12/28/11	4	5	5	Insurance:Unknown
7	1	I It's not often that you come across such exceptional service and professionalism. I can't think of any organization that delivers a more positive experience. Your staff are gems, every one of them without exception, and the environment is so comfortable. It removes all feelings of anxiety about visiting the dentist.Far beyond my expectations and as one who fears the dentist, it was an experience that has changed my view of having to visit for check-ups and dental work.  Dr.Arousha together with her staff at the Elite smiles dental, took a great deal of time to educate me on my dental health and needs. Unlike other dentist, she listened to my concerns and made me feel very comfortable before she began any procedures.   Absolutely the very best in dental care!! 	 10/29/11	5	5	5	Insurance:Unknown
7	-1	Dr. Jahangiri treatment planned me over $10,000 work after my insurance ran dry. I went for a second opinion and found out that I did not need any of the work she recommended.  Beware: this office is only out for your money and your insurance money 	1	1	1	1 	Insurance:Delta Dental
7	-1	I had a terrible experience with Dr. Jahangiri. The initial tooth cleaning was rushed and not very thorough. Two replacement fillings turned into two caps, a root canal and several thousand dollars worth of dental work. I was not told prior to work that there was any possibility that the two replacement fillings might lead to months of intense toothache pain, caps and rootcanals. When I became understandable anxious and upset in the dental chair, efforts to make me feel better were condescending at best. When I requested my medical records after the procedures, I was denied and had to file a charge with the Virginia Board of Dentistry. The VBoD was able to secure my records and I can now return to my trusted dentist in my old town. I wish I had read a review about Elite Smiles prior to agreeing to replace two fillings, so I thought I should write this review. Good luck with your hunt for a good dentist. They do exist, but I didn’t find them at Elite Smiles Dental.  	1	2	1	1 	Insurance:United Healthcare
7	-1	Incomplete service. No follow through.  Recommends services that are not necessary or required.  	3	1	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	Cold, dismissive, arrogant and condescending.  Stopwatch office visits, more a monologue than a consultation.  Better suited for a profession with little human interaction. 	2	3	1	2 	Insurance:Unknown
8	1	Has helped both my wife and me with exceptional care and empathy. His procedures completely solved our pain and imobility at 60 years of age. Have referred several friends and family members (father) to him. Very willing to help, even when insurance doesn't.  	5	5	5	5 	Insurance:CIGNA
