dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Well the people that he has know the longest are usually the ones he really sticks it to and unfortunatley they have no idea,its very sad.I know this too be very true because i worked for him,he treats his staff very poorly,they work often with no lunch breaks and he expects them to stay sometimes 14 to 16 hours without any lunch. He has fabulous hygenists,but last year he went through 40 employees in that small office that should say something about his business and his ethics,its realy ashame.His ethics are very poor, unfortunatley like many things in the world Greed and money are the root of all evil and he is both !!!! beware if you dare to go their 	5	1	2	5 	Insurance:Unknown
1	1	I would like to inform anyone who reads this rating about the quality of Dr. Saunders.  I work for almost 40 dentists across the country and I have direct knowledge of their skill level.  Dr. Saunders is one of the top doctors on this list.  Your appointment time may take you a little longer at his office, but the procedure will be done to the best of his ability.  I know from experience that he will not accept something that is not perfect.  Can this result in a longer wait or an additional appointment&#63;  It may, but I know that his work will be done right.  I would absolutley trust the care of my family with Dr. Saunders. 	5	5	5	5 	Insurance:Unknown
1	1	I was shocked at the negative comments on here. I've been going to Dr. Saunders for over 20 years and would not think of going elsewhere!!!  Dr. Saunders and his staff have ALWAYS, ALWAYS been courteous, knowledgeable and helpful.  You will be hard pressed to find a better dentist and staff in Lynchburg.                                                                                      I travel frequently and there's been numerous times that I've called needing his services when I did not have an appointment - 90% of the time they took me in on the same day I called, the other 10% they got me in the next day..      In short Dr. Saunders and his staff are a top notch organization.                                                                                                                      Regards,                                                                                           Dave R.  	5	5	5	5 	Insurance:Delta Dental
1	1	I have known Dr. Saunders for about 30 years and I have never known him to be pompous.  My family and I have been going to Dr. Saunders for over 20 years.  He is a very genuine person and dentist.  Dr. Saunders is a perfectionist and usually takes longer than normal with his patients.  I would strongly recommend him to anyone and have recommended him in the past to numerous people.  	4	4	5	5 	Insurance:Aetna
1	1	I accidentally stumbled upon this site while looking up Dr. Saunder's phone number and was shocked by some of the comments.  Dr. Saunders has been our family dentist for over 12 years and we wouldn't use anyone else!  He has always been extremely friendly, kind and knowledgeable.  In addition, whenever one of the five of us has had an emergency, his staff has worked us into their schedule the same day.  My only complaint is that sometimes his staff will cancel a longstanding appointment or call and see if an appointment can be bumped up or down a half hour, an hour, etc., which can be inconvenient because most people work their appointments into their schedules.  	4	4	5	5 	Insurance:Anthem
1	1	I would bet that all negative comments here are from patients who owe money. I worked with Dr. Saunders and he is the most competant and skilled dentist that has ever employed me.  He is so very nice to his patients, gregarious, and amiable unless you are just downright mean and rude to him and usually the people on this blog who are disgruntled are people who want free dentistry and are mad when they have to pay for it. 	4	3	5	5 	Insurance:Unknown
1	1	Dr. Saunders is a skilled and gentle dentist.  I was very surprised to see someone describe him as &quot;pompous,&quot; as I have never found him to be anything but kind, caring, and even humble.  	 1/10/11	5	4	5	Insurance:Delta Dental
1	1	Dr. Saunders, thank you so much for the relief, I was finally able to get some rest. I also referred a new patient to you. Thank you so much again, I feel much better, just sore but thats to be expected, good job Dr. Saunders, I dont trust anyone else but you. Have a wonderful day and I will be seeing you soon for a cleaning. Thank you again, the best Dentist in Lynchburg!!!  Thanks, Chris Lavender 	5	5	5	5 	Insurance:Unknown
1	-1	Very very poor customer service. I had a root canal done there at his office. Which I had go to his office three times to attempt to complete the procedure. Now I have a chip on the tooth they work on and  now because of their mistake they have to re-prep the tooth for the crown. I still do not have the crown on the tooth and they billing me for a crown that not even in my mouth.   He refuse to compromise  with me. I will never go back.  	1	1	1	1 	Insurance:Aetna
1	0	His is very pompous. He doesn't act very kind or nice, like most dentists try to do. I don't like him as a person, but he seems to do decent work. I've only been to 3-4 dentists and he has to be the worst with customer courtesy. 	2	1	3	3 	Insurance:Unknown
1	-1	Dr. Lee Saunders is a pompous dentist who does procedures he has no knowledge of doing. He has left me with a crown that partially fell out in less than 8 months,infected and decayed bone and now I am looking at a new bill, with a orthopedic surgeon and a specialized dentist of about another $9,000. He REFUSES to do anything to make good on his mistakes and is very pompous and unhelpful when we ask him to please make good on his terrible mistake. I feel like a very ugly woman without a front tooth. He should have recommended me to an oral surgeon in the first place, but he insisted that he could do the procedure. I would never recommnend him. He refuses to even give me a partial refund. You can expect to wait, at the very least,for 45 minutes beyond your scheduled appt. time to even be brought to a room. 	1	1	1	1 	Insurance:Unknown
2	1	Dr. Sanz was a second opinion after I had been told rather bluntly from another doctor, I would need a hysterectomy.  I did a lot of research before going to him and decided if he said I needed it, he would be the one to perform it.  He had the best credentials of anyone I researched. He offered me different options.  Choosing him was not based on his bed-side manner (which is somewhat lacking) but based on his years of experience and abilities.  As it turned out I'm extremely glad I choose him as most doctors would have cut muscle and he did not (just spread the muscles) which aided in a much speedier recovery and takes a conciderable more amount of skill. He also did not remove anything that was not absolutly nessisary.  Kept the female parts in place.  As with any surgery, please do your research and keep on top of the doctor you choose, but I will tell you, if you have any female issues which require surgery, this is the doctor to choose.  	4	4	4	5 	Insurance:Blue Cross / Blue Shield
3	1	Spent very reasonable amount of time with each patient BUT very long wait.  Appointment time means absolutely nothing.  Lasts visit I spent 2 hours just waiting to be seen.  Staff not very friendly.  	2	1	4	4 	Insurance:Blue Cross / Blue Shield
4	1	his staff is not friendly or supportive, however, he seems knowledgable and informed. 	1	4	4	5 	Insurance:Unknown
5	1	Excellent! Very knowledgeable, and took time to explain everything. I don't impress easily, but I was impressed.  	5	5	5	5 	Insurance:Workers Comp
6	0	I wish she was nicer and more understanding. She kept on insisting I needed to learn how to swim, and need to get the HPV shot even though my mom declined. After one visit with her I switched to another doctor.  	5	5	2	4 	Insurance:Kaiser-Permanente
7	1	Dr. Sampson is kind and compassionate.Very thorough, but in this,you will find exTremely long wait times.Average at Least an hour behind.At least.But I still find her worth it.She will sit &amp; listen,and make sure you understand everything she says.I've seen lots of doctors,and by far, she is the best.She was recommended to me, and I highly recommend her to everyone I know.Very knowledgeable. 	3	1	5	5 	Insurance:Unknown
7	1	This is a rating from a 'former' patient.   Dr. Sampson AND staff are beyond exceptional.  I was sooo sorry that when I moved away from the area that I'd have to leave Dr. Sampson and staff.  She cared for my entire family &lt;my kids from the time they were pre-teen to adults&gt; and even as my sons grew to adulthood they still felt comfortable with seeing a 'female' doctor.  I attribute this to her professionalism and kindess. I also was witness to the caring of her staff's well being.  On several occasions as one staff person then another fell ill and/or retired, Dr. Sampson was quite compassionate, juggling the needs of both parties (patients and staff).  Other than the long waiting time (which I attribute to her taking the proper time for each patient and her likability) this one rates an A+.  	5	3	5	5 	Insurance:Aetna
7	1	Dr Sampson is the greatest.  She takes time to talk with you.   I have never had her jump to assumptions and I feel she is looking out for me! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	I respect Dr. Sampson and her recommendations however the RN's are extremely rude, unhelpful and judgmental.  	1	1	2	2 	Insurance:United Healthcare
7	1	Being a patient of Dr. Sampson for 14+ yrs I could never seeing myself going elsewhere. She exceeds Professional and Compassinonate.   I am lost of words, there's no other way to put it, she is just simply awsome! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	This is an old school doctor. She takes all the time in the world to explain, examine and talk to you. She is thorough and most of all kind.  She has helped our entire family, including teenage boys in just about every area you can imagine.  If you are looking for a doctor that truly cares, she is the one! 	5	3	5	5 	Insurance:Tricare
7	1	I was very impressed with Dr Sampson.  Not only was she very professional, but she was compassionate, Very caring, She dug deep making sure that I recieved the utmost care, I would and have referred her to my friends, 	3	3	4	4 	Insurance:Blue Cross / Blue Shield
7	-1	Completely ignores patient concerns, jumps to conclusions based on assumptions, orders test after test without clear idea of what she is looking for, patronizes patients and ignores confidentiality, disreguards the diagnosis from speacialists in an effort to continue her own fishing expidition, incredibly opinionated despite offense that she may cause the patient.... The shortest wait to see the dr. was four 2 1/2 hours (and I am always on time for the appointment).... Her behavior is unprofesional, if you are in need of a doctor that you can count on to listen to your concerns and give helpful feedback you would receive better medicle advice from a potted plant.  	 6/22/07		1	1	Insurance:Anthem
8	1	The office staff was very unproffesional and rude. While I was waiting they were talking badly about a patient when she left, saying quote &quot;I hate her&quot;. I would never go back here again.  	1	3	4	4 	Insurance:Aetna
8	1	Great Dr. He diagnosed an issue that eluded two other doctors. I now have my whole family going to him. Very very smart and willing to listen/not dismiss your thoughts.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	VERY caring and attentive doctor.  He listens to you and treats each patient as if they were his most important patient.  He is continually studying and improving himself and his knowledge.  He quickly diagnosed an issue I had been seeing Kaiser MDs for 6 years for with no success.  He saved my life.  The office is small, but the service and care is huge.  This is a great doctor.  A down-home doctor with big-city expertise.  I can't say enough good about Dr. Sargent and his staff.  Highly recommended.  	5	5	5	5 	Insurance:Aetna
9	1	I scheduled a physical without knowing anything about Dr Saksena at Heritage Family Practice in Fairfax.  I was pleasantly surprised by her.  She took her time, listened, and answered my questions.  I was worried that there would be a language problem, but she doesn't have an Indian accent (sorry if not PC, but it is important to be able to understand what my doctor is saying).  She will become my new primary physician.  Her nurse, Jeanine, was excellent too. 	4	4	5	4 	Insurance:Unknown
10	1	After going through a few doctors, I found Dr. Salib. He's knowledgable and a good communicator. I don't wait for hours when I have an appointment. Refills are done quickly. When I first started going to him (8 years ago), I lived close to the office. I've since moved to a place where it's an inconvenience to get there, but I feel the quality of service he provides is worth it. When I hear people complain about their PCP, I recommend him.  	4	5	5	5 	Insurance:Anthem
10	-1	he pretty much prescribes whatever you want....doesnt really check up on his patients...the office as a whole is horrible, they never respond to patient questions or to pharmacy refills...  	1	2	1	2 	Insurance:Aetna
10	1	I can't imagine a better family Dr.. I am 67 and have had a few, he's the best. I just hope he sticks around as long as me.  CR Mathis 	5	5	5	5 	Insurance:CIGNA
10	1	Dr. Salib is an professional and truly cares about his patiets. He remembers your name and takes his time and listens to what you say and really takes it to heart, by far the best I have ever had.  	5	5	5	5 	Insurance:Tricare
11	1	This is an awesome doctor. He has removed my bunions as well as my mothers. Yes he is straight forward, but if you have bad feet...you have bad feet.  	5	3	5	5 	Insurance:CIGNA
11	-1	.  	3	3	1	1 	Insurance:Blue Cross / Blue Shield
11	-1	He was rude, belittling and told me I had a bunion, when I found out later it was only arthritis.  Won't go back.  	1	2	1	1 	Insurance:United Healthcare
11	-1	This is the worst doctor I have seen in my 60+ years. Extremely pompous, arrogant, and rude. I truly regret trusting my foot in his hands. He launched into an outrageous, screaming fit when my daughter asked me if I was in pain during the follow-up appt after she saw me grimacing in pain. He said he despises when family members accompany patients and treated us so nastily. Also recommended unnecessary procedures for conditions I do not have. He removed an ingrown toenail which should be a simple procedure, but now my toe is infected and I need to find a new doctor because I refuse to be seen again by him. A greedy, nasty, and unethical doctor who is just out for your money.  Patients beware!!! 	2	1	1	1 	Insurance:Medicare
12	1	Dr Saffron was very thorough, patient, laid out future plans A &amp; B.  Great doc.   Thomas P Oak Hill 	5	5	5	5 	Insurance:Unknown
