dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	-1	commentsPut off root canal work to fit their schedule--was improperly done--had to go to endodontist in Roanoke--have it redone at cost of $1,100.00 	1	1	3	1	Insurance:Unknown
18	-1	 This dentist is rude, short-tempered, and not at all gentle with his procedures.  On top of this, he has (in my opinion) fraudulent billing practices that leave you with considerable out of pocket expenses.  Do not believe him when he tells you that the bill you are agreeing to will be fully reimbursed by insurance.  What he does is bill you for unnecessary procedures, which insurance ultimately does not cover, then you're stuck with the difference.  From other message boards, it sounds like this is routine with this doctor office.   Do NOT go to this guy if you have ANY OTHER choice! 	1	1	1	1	Insurance:AetnaPaid/Co-pay:$1200
18	1	 Have been his patient for several years. Good practitioner,  but the office is a mess with things strewn all over.The office needs to be spruced up quite a bit, such as painting, etc. At times, he has left me in the chair, not telling me when he would be back, for an extended period of time, even when there has not been another patient. At times, he can be quite rude,stand offish, and not considerate of his patient's needs and comfort. His receptionist/assistant&#63;&#63; Is very pleasant and friendly. To her credit, when I have had a dental emergency, she has promptly scheduled me...  I have contemplated changing dentists, and perhaps I will at some point, but since he is such an excellent practitioner, I have &quot;accepted&quot; the aforementioned shortcomings 	4	3	3	5	Insurance:Delta Dental
18	-1	commentsVery rude and unfriendly service.  Pays no mind to patient's level of comfort. Has a very cranky attitude. Definitly NOT recommended. 	2	2	2	2	Insurance:Unknown
18	-1	.   	1	1	1	1	Insurance:United Healthcare
18	1	commentsHe can be an odd duck but is an excellent practitioner.  Dentist, not hygenist does cleanings/xrays, etc. 	3	4	4	5	Insurance:Unknown
18	-1	commentsOffice is dirty and unsanitary. Equipment is old (lights are broken, bugs inside). Doctor has anger issues when things don't go as planned. During crown replacement he yelled at me while in dentist chair because I was bleeding too much. When another patient arrived he left me in chair for 34 minutes until he finished the person's routine cleaning. Worst ever, am seeking legal action. 	1	1	1	1	Insurance:Unknown
26	1	 My husband and I have been patients of Dr. Ueno for 3 years and will continue to be patients for a long time. Dr. Ueno has helped address short term and chronic conditions, many of which were not property treated by other physicians.  Dr. Ueno is experienced, knowledgeable, and takes the time to understand the situation and answer questions.  He provides everything you would want from your doctor including a great bed side manner.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
26	1	commentsI had an amazing experience with Dr. Ueno, he helped me tremendously and everyone in the office was very friendly and helpful. I would recommend him to anyone with any ailment, go try accupuncture with Dr. Ueno first. 	5	5	5	5	Insurance:Unknown
26	1	commentsTetsuhiro is a patient listener, calming presence, confident in his practice and its benefits, and spends as much time with you as you need for treatment planning, etc.  I was nervous about trying acupuncture for the first time but was at wits end following 3 failed artificial insemination attempts at conception and over 3 years of trying.  I received 3 treatments around the time of our 4th insemination and our tests came back positive!  we couldn't believe it!  I am due in 8 weeks and couldn't be happier with my experience. 	5	5	5	5	Insurance:Unknown
