dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I believe Dr. Ahn was very deceptive.  At first, he made me feel great; so energetic and healthy!  After I believed in him, I never felt as good again.  He said, &quot;It would be taking time.&quot;  I believe he could have helped, but knew if I recovered, his paycheck would disappear. 	5	3	2	5 	Insurance:Unknown
2	1	Great small town office. Friendly staff. 	5	5	5	5 	Insurance:Unknown
3	1	Extremely knowledgable, extraordinarily helpful.  	3	3	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	did not give useful recommendations for my child. 	3	5	1	2 	Insurance:Unknown
4	0	Dr Abraham's staff was ok, sometimes poor at communicating in english.  All of her staff seems to be first language spanish...but she is first language something else all together.  She didn't study in the US and her communication skills are ok at best, she didn't understand everything I was saying.  She wasn't terrible, but I wasn't super happy and I have three children, so I visit a lot.  I felt like I was inconveniencing the staff and Dr Abraham bringing all of my kids (and we often had to wait, no one was prompt or early) and no one really offered to help make our visit better.  There are no rooms in the office that accommodate what seems more than one parent/one child together. They do give each child a book with each visit, which is nice.  	2	3	3	3 	Insurance:Tricare
5	-1	At the time I picked my doctor she was the only one in my area that was taking new patients. All I know from my experience is she treats me as if I am not a human being that has problems and needs her to take good care of me and she makes me sign a behaverial contract and it to me is  like a threat and really hurts me and she does not really listen to me and what I have to say. I am a Chronic Pain patient and she plays with my mind and when it comes to refilling my pain medicine she gives me what she thinks I need, not what I usually take. I need to function and not just lay around and not be active for the pain is so severe. She is always using the state as the reason I can only have what she gives me and I called the state and I was told as long as I have a medical reason of which I do, there is no restriction. I have so much to say and 1000 words limited is not going to give me the space to give all the specifics that need to added to this complaint.I have many health problems.  	4	5	1	1 	Insurance:Blue Cross / Blue Shield
6	1	I needed orthotics and dr adolf was able to get them for me and fitted casted and followup was good too.  	5	5	5	5 	Insurance:Aetna
6	1	Dr. Adolf is great he was great. He helped my feet. I feel better now.  	5	5	5	5 	Insurance:Providence
6	1	great doctor. very knowledgable, professional and kind. 	5	5	5	5 	Insurance:Unknown
7	1	Doctor and staff are friendly, fast, and efficient. They have great skills which makes the vist a positave experience overall. 	5	4	5	5 	Insurance:Unknown
7	1	Fast and friendly service. I love my hygienist...she always has a great attitude and is easy to talk to. In and out in under 30 for a standard cleaning. Flexible with payments and rescheduling appointments. 	5	5	5	5 	Insurance:Unknown
7	1	Met Life dental used and we are billed for anything that is not covered by insurance.  The staff is very helpful and friendly - very kid friendly office.  Will always continue using them and referring them. 	5	5	5	5 	Insurance:Unknown
7	1	great dentist..love my crown and stephanie is great at cleaning teeth...well done girl.. 	5	5	5	5 	Insurance:Unknown
7	1	He is kind,precise,painless,in his work;with excellent results for me.I am very pleased with resulting dental health and the care I am receiving.thanks,Dr. A.  	5	5	5	5 	Insurance:Delta Dental
7	1	Dr. Altman is not just an excellent dentist.  He is a compassionate man who runs a very friendly office.  He is gentle and reassuring with all of his patients.   We've been seeing him since he started his practice!     Linda Hinton 	5	5	5	5 	Insurance:BC Med
7	1	have been going to dr altman for years. excellent care and follow up. accepts teamsters dental plans. dr altman is the best dentist i have been to. my family will go no where else unless he refers us. 	5	5	5	5 	Insurance:Unknown
7	1	My family has seen DR Altman for several years now. His staff is wonderful and are great with my kids. Dr Altman and his staff care about you and your experience. As a fearful dental patient he put me at ease and even called to check on me once after having a dental procedure! We continue to see him even though we've moved and are no longer close to the office. Great staff highly recommended! 	5	5	5	5 	Insurance:Unknown
7	1	. Everyone in this office is very kind and helpful - Doctor is THE BEST!!! 	5	5	5	5 	Insurance:Delta Dental
7	1	My family has been going to Dr. Altman's office for decades.  He provides excellent services and appears to always have state of the art equipment and techniques.  Hygientists have been consistantly superb.  	5	5	5	5 	Insurance:Aetna
8	1	Great doctor with a very helpful staff. He was especially knowledeable about diseases and genetic conditions that may affect people of Indian subcontinent.  	5	5	5	5 	Insurance:Aetna
8	1	I will recommend this doctor to who need medical care . 	5	5	5	5 	Insurance:Unknown
8	-1	Most arrogant attitude. Has no regard for human feelings and most unprofessional behavior. Meeting him was a nightmare.  	1	2	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	Dr.Tariq was an extremly unhelpful doctor. He did not ask me any questions about my condition, did nothing to diagnose the problem and provided no useful information at all. He actually had the nerve to tell me to lie to my employer about my condition so that I don't get fired. The whole visit was a big waste of time. His staff is very unprofessional too. Avoid this doctor at all costs.  	1	5	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	didn't even say hello when he walked in and was rude when he did talk.  had a lot of trouble taking blood.  	5	1	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	 	4	4	1	3 	Insurance:Unknown
9	1	very knowledgable and helpful. we had a good experience with this md 	4	4	5	5 	Insurance:Unknown
9	-1	This physician is unprofessional and puts his ego ahead of the welfare of his patients. I would not recommend him for ANY TYPE of medical care. Run away, don't walk, if you have to have this doctor(&#63;&#63;) on your treatment team.  	2	2	1	1 	Insurance:Blue Cross / Blue Shield
10	-1	Beautiful office and very pleasant office staff. First appointment patients must watch a video re: chiropractic care, then spend lots of time waiting while doctor enters info into computer. Personal comments were made that crossed the professional line. Patients are encouraged to visit many times/week. Money seems to be the bottom line here. 	4	4	1	1 	Insurance:Unknown
11	0	http://www.kitsapsun.com/news/2012/may/30/bremerton-... 				 	Insurance:Unknown
11	1	I have been with this doctor for many years now and I would recomend that if you want a very, very good doctor, look no further than her.                    dlrv1947@yahoo. com 	4	5	5	5 	Insurance:Workers Comp
11	1	I love Dr. Lila Aflatooni.  She is kind, knowledgeable, and very interested in working to keep you well.  she ensures that all your test results are fully explained to you (by her) and she talks to you personally.  Refills are called in on time.  Appointments are available when you need them.  Her staff is great.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
11	-1	Had no care or concern over my serious health issuses. Her receptionist is very snotty and unhelpful. The doctor herself has a god complex and is unprofessional. I would not recommend her to my worst enemy! I hope people will go to her of they are sick and don't want to get help or want to sit around waiting to get blood tests/ reports when you need them the most! 	1	1	1	2 	Insurance:Unknown
11	-1	very rude and doe not take true issues like pain seriously 	1	1	1	1 	Insurance:Unknown
11	1	. wonderful practice 	5	5	5	5 	Insurance:Tricare
12	-1	Had a needle core biopsy done by this Dr. and he didn't inform me that the specimen had sat in the pathology dept.for 2 days and then the report showed poorly perserved specimen and an inflammation.  Would have been nice to have been informed that test should have been repeated and my insuranse was charged by Dr. &amp; hospital for their mistake. 	1	5	1	1 	Insurance:Unknown
13	-1	Last October I went to see this doctor for the first time and I brought my husband along.  We both felt that she didn't really listed to my concerns and she was very short.  I was sent off to take some ultrasounds and the ultrasounds came back not showing anything so the doctor didn't do anything for me.  I called back because my problem didn't go away and I started to have further complications.  Once again, she was completely unhelpful and told me I didn't need to come in and see her.  A month and a half went by and I was still having problems.  This time I went to a different doctor.  Right off the bat he though he knew what was wrong with me and he did the tests to confirm it.  Sure enough, I had a very common disease that she failed to diagnose.  Her failure to diagnose my problem could make it so I can never have kids.  Even the doctor who I saw for the second opinion was suprised that she didn't know what was wrong in the first place since it is a fairly common disease. 	 3/4/09	4	3	1	Insurance:Unknown
14	-1	When it was discovered that I had a tumor, she told me that she'd never dealt with this and didn't know what to do.  She's a traditionally (allopathically) training doctor as well as trained in naturophy.  I was beyond dismayed at this kind of irresponsible response.  She is also haughty and judgmental. 	5	4	1	1 	Insurance:Unknown
15	0	This is just for test 	4	5	4	2 	Insurance:Unknown
16	1	Dr.Dale Alsager is a caring, compassionate doctor that really cares about this patients and will do everything he can to improve thier lives. He halped me live a comfortable life and is still today my friend and someone I can call when I need help. I would reccommend him to anyone. He and his wife Better are wonderful people. I rated him because there is no other doctor out there like him. 	5	5	5	5 	Insurance:Unknown
17	-1	My experience as a former patient of Dr. David Aboulafia was not good. I felt that he lacked sufficient listening skills and as a result of his poor doctor/patient communication skills, I was sent to the hospital where I suffered Congestive Hart Failure Exacerbation.  	3	3	1	2 	Insurance:Medicare
18	-1	. Frustrated 	1	1	2	2 	Insurance:Blue Cross / Blue Shield
19	-1	Dr. Ahart has a very limited worldview and does not accept parents that have a different ideology than her.  For example, I breastfed my child until he was two--our choice. She was very negative regarding breastfeeding and told me formula is actually superior after 6 mos. of age. Breastfeeding is a woman's (and child's) choice, and should be encouraged by the doctor.  She also was critical of limiting screentime (t.v., computer, etc.) because, as she said, that's the future and parents should want their children to function in society well.  I believe children should be encouraged to develop their own imaginations...but I understand that others may see that differently.  I just was surprised to have a alarmed face made at me when I told her &quot;thank you for your suggestions, but we have traditional values&quot;. I take my child to the doctor for medical treatment, not parenting advice--but am not mad if I get advice, just shocked when judged so easily. She was very scary to my boy as well.  	3	2	1	1 	Insurance:Tricare
19	1	Dr. Ahart is the best...she takes no crap off the kids, hence the complaints from the crybaby parents about her bedside manner.  Sure you have to wait sometimes because she takes her time with her patients, but, she takes the same amount time with your kids, so it all evens out.  She loves my daughters and they love her.  I won't take them to anyone else.  	5	3	5	5 	Insurance:Anthem
19	-1	Son was 7 or 8 at the time (he's 17 now).  She wanted to check his testicles.  Just pulled down his pants w/o telling him why she was doing it.  He was upset and scared. I was angry!  Another time, he had a stiff neck, so she twisted it quickly.  He screamed out in pain.  Has had trouble with neck ever since.  I find her overbearing,egotistical, and with no beside manner what-so-ever. 	4	3	2	2 	Insurance:Unknown
19	1	She's a little stern, and sometimes wait times are long, but overall Dr. Ahart is an amazing doctor. Her staff are nice and the facility is spotless. I wouldn't go to anyone else. 	4	4	5	5 	Insurance:Unknown
