dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	-1	.   	3	1	1	1	Insurance:Medicaid / Medi-Cal
4	-1	.   	1	1	1	1	Insurance:Medicaid / Medi-Cal
4	-1	commentsDr. Bagdahdi had no concern whatsoever about my &quot;high risk&quot; pregnancy. I nearly died as well as my baby. I could have gone through a medical malpractice lawsuit, but I didn't because my baby lived. This man has no concern for anyone but himself. All I can say is karma will find him... 	3	1	1	1	Insurance:Unknown
4	-1	commentsi honestly cant stand this dr he is always in a hurry to get out of the room and never stays to ask how your doing and doesnt give you the time of day really... i would say that dr jung who works there is the best he always has time for you and answers your questions and concerns with no judgement.. 	5	2	2	2	Insurance:Unknown
4	1	 Dr. Baghdadi saved my life as well as the life of our son due to his quick response and immediate decision to do a c-section.  Had he not been my doc (or had I stayed with the MIDWIFE I thought I'd try) I would not be here today.  He may be a man of few words but he is very smart (he has a FACOG ladies!) and knows his stuff.  Numerous doctors since have told me that I am extremely lucky he is my doctor.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
4	1	commentsWhen I started to miscarry my OB would not see me. Three days later I had a uterine infection and since it was Christmas Eve my OB would not come in, Dr. Baghdadi came in and helped with emergency surgery. When I got pregnant again he said he would help every step of the way and determine why I miscarried the first time. He was very compassionate, helpful, and most of all there to help a dshs patient he had never met on a holiday. Because of him I have a healthy son. 	5	5	5	5	Insurance:Unknown
4	1	commentsWhen my current doctor at the time decided she would not deliever my baby at good sam 3 days before I was due. I had to go to a new doctor and deliver at a different hospital.. she referred me to Dr. Baghdadi who was the best...I had never met him before all of this and honestly could not have been happier. As you could imagine I was freaking out, BUT Dr. Baghdadi stepped up and I could not have asked for a better outcome. 		4	5	5	Insurance:Unknown
4	-1	commentsThis Dr. is absolutely an ****..When I would tell him that I was having pain during intercourse, he would simply say &quot;don't do it that way&quot; Also, at the time, I was on state medical and needed treatment for dysplasia on my cervix, he wouldn't do the necessary treatment because the state didn't cover it all and I couldn't pay the balance in full. He is a creep..Ladies, stay away from him. Paid/Co-pay:$35000		2	1	2	Insurance:Unknown
4	-1	commentsThis man was my beloved doctor until I decided to have my third baby at home with a midwife. Since then, he hasn't treated me the same. When trying to become pregnant a fourth time, I asked him about my vitamins and also expressed concerns as I'm almost 40 and it was taking much longer than it had the previous three times. He simply said, &quot;You like all that natural stuff, so just go natural. Let nature take it's course.&quot; He also refused to even look at my supplements I was taking, saying, &quot;Oh, it's all natural. It's fine.&quot; Also, he's NEVER there. I always have to wait several weeks to see him because he's not available...on vacation, etc. 		5	1	3	Insurance:Unknown
6	1	 caring cardiologist with outstanding clinical skills and up-to-date knowledge. Coordinated my husband's care after a cardiac arrest six years ago. I watched him organize everything, visit at least once daily, and always have time to explain and answer questions, whether mine or interns or residents. My husband is doing well 6 years later after much care from this outstanding MD.  	5	4	5	5	Insurance:Medicare
6	1	commentsI moved to town and knew no doctors, and did a little snooping and starting going to Dr. Baciewicz.  This was very good fortune.  I don't know that I've ever before seen a Doc that is as good natured, approachable, and most importantly- such a capable listener.  I would extend this praise to his whole practice.  I wish I didn't have to go so often, but have a great deal of comfort and confidence with Dr. Baciewicz and his group.   Oh- as for punctuality- they don't seem to be &quot;like clockwork&quot;- I nearly got my vehicle towed one day that things ran long.  I normally get bent by waiting in rooms for doctors, but in this case I'd wait all day- the care is that good. 	4	1	5	5	Insurance:Unknown
8	1	commentsI've only seen her once, but so far she seems great. She was a good listener, and helped me find solutions for the problems I was having. 	5	5	5	5	Insurance:Unknown
14	1	 The best doctor ever!!!! i feel great now...  Clean office and everyone is so friendly 	5	5	5	5	Insurance:HealthFirst
14	1	commentsWonderful doctor (Mark) Doesn't BS you like other DC's 	5	5	5	5	Insurance:Unknown
14	1	commentsThis is the most amazing- kid friendly office I have ever been to. Dr. Babich (both of them) are super friendly. They have created an office environment where everyone feels like family. I drive about 45 minutes out of my way to continue to see them. 	5	5	5	5	Insurance:Unknown
17	-1	 This doctor doesn't know her ass from her head. Prescribes unneeded and dangerous medication, and even manages to mistake a bed sore for an unspecified infection. One can also wonder why an osteopathologist works as an internist, since her educational history (http://www.healthgrades.com/physician/dr-mary-badger...) does not show any additional training/education that would justify her position as an internist. Her knowledge is severely lacking, prescriptions are questionable, and i would definitely NOT recomend her to anyone.  	3	3	1	1	Insurance:Blue Cross / Blue Shield
17	1	 I went to Dr. Badger for the first time today for an annual physical.   She listened to my concerns and addressed every one of them in a friendly, non-alarmist manner.  At no time was I at a loss for what was coming next or how long it would take.  The staff at the front desk is satisfactory, the nurse I had was very pleasant and capable (I had an EKG in the office administered by the nurse).  This doctor seems to know the latest information and the pros and cons of each of them.  I thought she had a good 'bedside manner' and she was focused on her specialty (versus trying to be everything to everybody - I am leary of the doctor who can 'do it all!).  She also knows my gynecologist and says she will work closely with him if my test results indicate coordinated care is needed.  I like her and hope that this turns out to be a long-term care internist for me.  	4	5	5	5	Insurance:Aetna
17	1	commentsThe best diagnostician I know. Her patients always come 1st, too. 	5	5	5	5	Insurance:Unknown
17	1	 She was great. She explored possibiliies that other doctors hadin't even looked at. Asked lots of questions and followed up with me afterward. I felt like she actually listened to me.  		5	5	5	Insurance:Tricare
17	1	 This DR, is amazing.. Such a special caring person, NEVER too busy but always swamped. You feel like you are the only patient this extremely in demand DR has, a class act.. A diamond in the ruff.... I am my family are so fortunate to have her looking after our well being. She is extrmely open minded, listens well to what you have to say, makes very informed decisions, is not reluctant to consult other sources, and your health and welfare always seems to come first, despite all the insurance limitations and red tape. You are the best Dr. Mary Badger..thank you for taking us under your wing.. now go out and enjoy the outdoors you love so much....  		5	5	5	Insurance:CIGNA
22	1	commentsDr Babcock was my doctor for almost 30 years. I only stopped seeing her because I moved across the state and don't go back often enough to have her continue as my main physician. I absolutely love her. Going in to see her was more like visiting with a friend than going to the doctor.  I would love to find a doctor for my son that is as great as Dr Babcock was for me. 	3	5	5	5	Insurance:Unknown
22	1	 Many of the other doctors and their families use her as their general Doctor.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
22	1	 Dr.Babcock is the best Doctor I have ever found, and would NEVER switch to anyone else.  	5	5	5	5	Insurance:United Healthcare
24	-1	commentsDr Backous performed operations on both my husbands ears and when he was examined by a reputable audioligist for hearing aids, the audiologist was horrified at what had been done. One ear was so bad that she could not fit it with a hearing aid as the canal was so mutilated. I dont know what we should do,if anything, about this but it doesnt seem right. 	2	1	1	1	Insurance:Unknown
24	1	commentsHe took the time to listen to my concerns and his staff is real helpful with insurance and trouble shooting difficulties. 	5	4	5	5	Insurance:Unknown
24	1	commentsDr. Backous is an amazing and knowledgeable surgeon.  While he often seems very rushed (as others pointed out) I have found that if you tell him you have some questions and get him to slow down, he is very good at answering your questions.  The surgery he performed on my ear (a reconstructive one many years after a mastoidectomy I had as a child) significantly improved my ear's ability to self-maintain (as he promised it would).  I decided after my surgery that even though he didn't make me feel all warm &amp; fuzzy I would stick with him as long as I could because I knew he was excellent at what he did.  Bottom line - If you want someone to discuss/consult/help you process your decisions, he may not be the one for you.  But if you want someone who will be very straight forward and an excellent surgeon - look no further. 	4	4	4	4	Insurance:Unknown
24	1	commentsI had to come down from Alaska for emergency surgery. This doctor saved my life, literally! He was funny, witty, and made me feel a lot better. I wouldn't go to anyone else. 	5	5	5	5	Insurance:Unknown
