dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Great Cancer Treatment.  Staff of five docs and excellent experience 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. John is a gifted diagnostician who really cares about his patients. I have never had a doctor spend so much time with me, listen so well and ask such in-depth questions before. He treats the root causes, not just the symptoms. I am so grateful I found him! 	 10/7/11	5	5	5	Insurance:Unknown
1	1	Cancer treatment is excellent. Cutting edge integrative immunotherapy and vaccine development.  Excellent care! 	5	5	5	5 	Insurance:Aetna
1	1	Dr. Catanzaro is phenomenal. He is an out-of-the-box thinker that TRULY cares about his patients. He is so unique in the way he spends so much time with his patients, and always gets to the root problem rather than treating just the symptoms of the health problem. He runs thorough tests, and spends a lot of time with his patients explaining the results. His practice is one of a kind.  	5	5	5	5 	Insurance:Aetna
2	1	great people and place.  giving the highest possible rating for Dr Card 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	Found her to not be compassionate whatsoever. I have a high risk pregnancy and she brushed off every concern i had as unimportant. She showed almost no emotion. I felt like i was part of a business transaction every time I had scheduled with her. My baby is at high risk for medical issues after birth due to meds I had to take. She did not act concerned or informed whatsoever. She refused to communicate with my previous drs from previous pregnancies about my history and condition. She is very young and has the attitude that she knows more than you do. I would not recomend her to other pregnant women as their dr. However, her MA Brittany is quite wonderful :) 	4	2	2	1 	Insurance:Unknown
3	-1	I called 5 times for a change in my prescription.  Had to call every time - never got a return call.  Not only would they not help me with a prescription, but they cancelled my existing prescription, leaving me severely anaemic and without birthcontrol.  I am making a formal complaint. 	1	1	1	1 	Insurance:Unknown
3	-1	No follow up, and an awkward visit. I would not suggest for someone who may have questions, or possible health issues. 	1	5	1	1 	Insurance:Unknown
3	-1	Dr. Calvert does not get back to her patients promptly.  I am still waiting for her to call me about a prescription refill I requested last week.  It takes 3 to 4 phone calls to get a rx refill and there is no communication from her office in explanation of lack of refill called in.  To not be in communication about rx refill with someone who is trying a new SSRI with discontinuation side effects is irresponsible and poor patient care.  	1	3	1	1 	Insurance:Aetna
4	1	This was the best eye examination I have ever received.  Dr. Campbell explained what he was doing and described the results as he went through a number of procedures.  Two of these procedures I had never had before. He was candid: mentioned the possibility of emerging macular degeneration, but not a certainty.  Mentioned onset of cataracts, but not likely to need surgery for a long time. Described cataract treatment in detail, but estimated I would not need it for years.  Dr. Campbell seemed to want to anticipate my questions, and to provide the answers as we went through the exam.  He made this exam an interesting and educational experience.  I score him highly for &quot;bedside manner. &quot; 	4	5	5	5 	Insurance:Medicare
