dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	 Dr jackson does better with Pre-diagnosed health problems.  He will second guess what you tell him about your medical concern.  ONE example is I told him my ears hurt and I have had problems with them all my life.  He quickly looked in each ear turned to me and said &quot;theres nothing wrong with your ears&quot; then dismissed.  Very nice and personal doctor but not a good diagnostician.  Would be a good doctor for terminal ilnesses.  	5	1	1	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$30
8	1	commentsDr. Jacobson was wonderful.  I was diagnosed with Skin Cancer and she did a mohs surgery.  She and her   staff were kind and kept me informed about each thing   they were doing.  I will continue to see Dr. Jacobson   on a regular basis for skin checkups.. 	5	4	5	5	Insurance:Unknown
11	1	 I have been a patient of Dr. Jacobson since 1998. While he is overworked like most doctors these days due to overall patient volume, I have found him to be knowledgable, approchable and he has worked collaboratively with me in determining the most appropriate and effective treatment for my MS.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
11	-1	commentsThis was one of the worst doctors I have ever seen in my entire life. I just had to share this with others in hopes that they wont choose this doctor. He was over an hour late and only spent 10 minutes with me. He didn't answer any of my questions and made me feel like i was stupid. His staff was great and had great bedside manner which he did not. 	4	1	1	1	Insurance:Unknown
16	1	 I have been going to him for about 6 years. Takes the time to listen to problems &amp; concerns. Very through &amp; conservate w/treatment.  	5	5	5	5	Insurance:Coventry
16	1	 Good outcome oriented Doc.  Takes time to talk about things and listens well.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
16	1	commentsI think he is one of the most caring doctors I have ever been to. He listens to you and is very helpful with information if you don't understand. If he does not know something he is willing to look for information on what ever subject you are asking about. He is my regular doctor and he treats my crps or rsd I have this in both of my legs.I also have fibromyalisa.He is also taking new patients and he accepts the state medical. 		5	5	5	Insurance:Unknown
19	1	commentsShari Jackson is wonderful.  I had a EVLT and scherotherapy done by her and was very happy with both her treatment of me, and the results.  I no longer have leg pain standing for long periods of time.   The cosmetic effects were also good, but not as dramatic. I originally saw another doc at Via Vascular and wasn't impressed.  Shari was excellent at communicating to me about the procedures, and had excellent bedside manner. 	5	5	5	5	Insurance:Unknown
21	1	 dr jackson, saved my life.  He might of been airegont, but he knew what he was doing.   it's been almost two yrs since i had surgery  i just wish i could lose the weight to have my ostomy reversed 	5	5	5	5	Insurance:Blue Cross / Blue Shield
21	-1	.  Very rude and did a poor surgery job! Told mom that she didn't need surgery and told dad that she needed surgery&#63;&#63; 	3	3	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$1600
25	1	commentsVery kind and understanding. 	5	5	5	5	Insurance:Unknown
