dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	My husband and I have been going to Dr. Kelley since 1999 and very much appreciate her work and demeanor.  She's a great doctor and we recommend her for your dermatology needs. 	5	5	5	5 	Insurance:Unknown
1	1	she is the best! Every doctor should take a lesson from her on respecting patients and being non-judgmental.  She knows her skin, too! I have recommended her to many people 	4	4	5	5 	Insurance:United Healthcare
1	1	Dr. Kelly is knowledgeable for sure - she does a great job of listening to your issues and explaining your treatment options. She's also nonjudgmental, non-intimidating... truly just a nice person. I highly recommend her.  	3	3	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	I was honest with this doctor about my past, and he treated me like crap. Very unpleasant Doctor. 	4	4	1	1 	Insurance:Unknown
3	-1	My 79 y.o. mom had surgery to remove a severely scarred section of her bowel.   1)We were given wrong post-op instructions; 2)At post-op visit,Dr.K was rude,e.g.,my mom's incision was still packed with gauze from surgery. Before we knew it, while she was dressed and standing, Dr.K pulled down her pants in the front and with his other hand stuck his finger in the incision and ran it across so that all the puss, gauze and fluid came out onto the floor. I have never seen anything so unprofessional.  3)My mother's scar is the worst stitch job-its crooked, lumpy, bulging...Just because she's old doesn't mean she doesn't care how she looks; 4)After surgery, mom's incision became infected. Dr.K put her on a 6-wk  high dose of antibiotics which almost killed her.   After about 4 weeks, Mom completely deteriorated, was delirious. I wanted to stop the meds- Dr.K said no, since we only had 2 wks left. Sure enough, the minute she was off the meds she got better and is now fine, no thanks to Dr.K.  	4	3	1	2 	Insurance:AARP
3	0	Dr Kahn covers his bases with tests but is not very helpful with pain issues that don't fall within common causes. It's hard enough to go to a doctor at all regarding anal pain. He's not very understanding when pain is the complaint and he doesn't find any cause within his paradigm of the only causes. He gives no solution other than *suggesting* it's phatom pain. 	5	2	2	3 	Insurance:Unknown
3	1	Very caring doctor. He performed colon cancer surgery on me. He is so knowledgeable and definately knows what he is talking about. Everything that he told me was right on. Highly recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Recent Colonoscopy. Freaked out about.  Staff and Doctor fantastic 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	0	Although Dr. Kaplan was an ok doctor... his staff was not at all helpful! 	1	3	3	3 	Insurance:Unknown
4	1	Very helpful in making a referral with a specialist, when necesary. 		3	4	5 	Insurance:Unknown
5	1	Very helpful, personable, a good listener. 	5	4	5	5 	Insurance:Unknown
6	1	Dr. Karimi found out what I have (mild case of Crohn’s). I got to her after seeing 3 other doctors, one of them wanted to perform an unnecessary surgery. Dr. Karimi has been so accurate with the diagnostics, willingness to work with me to find out the best treatment and also respecting my desire to minimize drugs. She is special, sometimes it may seems that she is a little rude, as she may be short sometimes, but in the other way around, she is very sweet, so don’t get hung into it!  (I think it is just cultural). She has been always there for me, very compassionate and always gives me the feeling that she will be there when I need her, and she will understand. The most important thing is that she is the best gastroenterology I have met! 	5	5	5	5 	Insurance:Unknown
6	1	I have seen Dr. Kirimi twice now. She treats me with kindness &amp; offered solutions to a prob that I have been experiencing for a few yrs now since my gallbladder was removed. The &quot;sloppy&quot; surgeon had spilled the contents of the bile in to my body &amp; she felt that there may still be residue or a small stone left over that was the culprit of my pain &amp; RX'd me a medicine to disolve the sediment.  After only a few days of taking that medicine, I no longer have upper abdomen pain which would wake me up in the middle of the night. My other GI dr just told me I had too much stomach acid and to take a pill &amp; offered no other resolution.  I really like her &amp; have recommended her to my friend &amp; to my hubby.  The only thing is sometimes it is hard to hear her because she speaks so softly &amp; because of her accent, so you only need to ask her to speak up &amp; repeat what she just told you.  Then there is NO miscommunication involved.  	5	5	4	4 	Insurance:United Healthcare
6	0	I saw doctor Karimi for about a year for a serious GI problem.  She was unable to find the answer but throughout the testing she stressed me out. She told me I had several different things that I did not have; including crohn's and MS. On a Friday she told me I may have colon cancer. Then on Monday, when I saw her again, she asked how my weekend was.  I told her it was stressful and her exact words were, &quot;Why&#63; It's not like you have cancer.&quot; I was floored by this. I thought it was really unprofessional of her to even bring up cancer on a Friday and then treat me like that.  Cancer is a very scary word. Especially since I have an extensive family history of cancer.  I would not recommend her to anyone.  Ever.  	4	3	3	3 	Insurance:Medicare
