dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Nelson was kind and listened well. She had am amazing depth of knowledge and helped me form a treatment plan that I could do, and it worked well for me. I love that she knows other options to help Lyme in addition to &quot;another pill&quot;. 	 8/7/11	5	5	5	Insurance:Unknown
1	-1	Worst ND you could possibly have treat you. Thinks she knows everything and really knows nothing is very rude and opinionated.  She claims to have Lyme disease herself if this is the case  she should cure herself before experimenting on others with her witchcraft. 	1	1	1	1 	Insurance:Unknown
1	1	Thank God she is here - FINALLY I have someone who understands what I have been going through and is helping me get through it and beyond it! 	5	5	5	5 	Insurance:Unknown
1	0	Dr. Nelson was helpful in addressing many technical aspects of chronic lyme disease but appeared not to address our concerns on addressing a dual diagnosis of MS along with Lyme.  Specifically, how to manage a coordinated (with other MS neuropathic specialists)approach to managing both conditions, the associated drug treatments and the potential for misscommunication on dealing with potentially powerful and mixed drug treatments.  She was 30 minutes late to a half hour appointment and seemed to take a disliking to our questions and concerns related to a coordinated drug treatment program given we have been on an MS treatment program for several months.  Given the seriousness of the matter, we were perplexed by her 'bedside' manner and wished that the situation had worked out differently. 	4	1	2	4 	Insurance:Unknown
1	1	She knows what she is doing, I see her not only for the area of expertise she specializes in, I've been so helped by her with my specific health issues that I also choose to see her for general health such as annual exams etc.  I would not trade her for another doc.  Nice to have her at a new location too in which she seems to have more effective and helpful office staff as well as resources in general.  I recommend her services to anyone, whether you fit the areas she specializes in, or even just general medical stuff.  Sometimes she is on time, other times around 15 minutes behind.  This seems to have improved with better backup at her new clinic. 	5	4	5	5 	Insurance:Unknown
1	1	This woman is AMAZING...she makes it clear when there are needed lifestyle changes.  And she has been 100% spot-on with everything that I have thrown her way.  She has changed my life in only 3 visits.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I believe my life has now been saved due to Dr. Nelson. She took the &quot;Oath&quot; and fulfilled her promise to heal! 	5	5	5	5 	Insurance:Unknown
1	1	Dr Nelson has an encyclopedic yet practical knowledge of Chronic Lyme Disease and its treatment. I just wish she was an MD rather than a ND. MDs don't know**** about this disease and don't care. Dr. Nelson cares a lot (and is effective), but insurance companies don't honor naturopathy. 	4	4	5	5 	Insurance:Unknown
1	1	Dr. Nelson knows her stuff. She is a Lyme Literate Naturopath. As there are many treatments for Chronic Lyme and alot of controversy surrounding them, I don't always agree with Dr. Nelson. However I respect her and trust her information completely. When I am indecisive between a recommendation that conflicts with her beliefs I am apt to try her approach first. She also has Chronic Lyme herself so has personal experience along with clinical knowledge in fighting this disease. 	4	3	4	5 	Insurance:Unknown
2	1	I had been shopping for a new dentist and already had 2 strikes when I was referred to Dr. Nelson by a co-worker who JUST LOVES HIM!  Seems like he is just getting his own practice up and running so the office isn't the fanciest or most organized.  I was not impressed by his office staff either.  But I was definitely impressed by Dr. Nelson - he seems great!  All I've had so far is a cleaning (which he did himself!) but I am ready to build a dental care plan and long-standing relationship with him.  He was very patient in explaining my x-rays and answering all my questions. 	3	5	5	5 	Insurance:Unknown
2	0	Very poor service - rude and does not treat everyone the same.  Then they cancel appointments at the last minute because they changed their mind about how they wanted to handle the payments.  The pricing is quite high as well.  The actual dr is nice, but staff is not.  	1	4	2	3 	Insurance:Blue Cross / Blue Shield
2	1	Very nice and thorough. He answered all my questions and was super friendly. 	5	5	5	5 	Insurance:Unknown
3	1	Dr. Nalty is concerned, helpful, caring and above all, accessible.  She really does care about her patients and WHO they are, not just what they pay, and takes the time with you during appointments.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Nalty is very personable.  She is very caring and makes you feel like you are the only patient she has.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I have been a patient of Dr. Nalty's for 20 years. Even though I moved an hour and 40 minutes from where she practices I have kept her for my doctor as well as now my family uses her. She is the best doctor I have ever seen and is well versed in a lot of areas which makes her the best family doctor. She makes herself fully available to me and my family for questions and medical advice.  I would not travel this far to keep her as my doctor if I didn't feel strongly that she is the best there is! 	4	5	5	5 	Insurance:Aetna
3	1	She is the best doctor I have ever seen. Spends time with you and explains exactly what you need, very personal. I love her.  		5	5	5 	Insurance:United Healthcare
3	1	I am extremely happy w/ Dr. Nalty. She's very personable and knowledgeable. She is willing to work w/ her patients to find common ground, as well as concerned with my satisfaction and comfort in dealing w/ my migrane headaches. It's actually taken me 22 years to find a doctor that's willing to help me find the right combination of preventative medication to control my migranes. I do not have a single bad thing to say about Dr. Nalty.  		3	5	5 	Insurance:CIGNA
4	1	I like Dr. Lucy because she is very honest. If she is not comfortable treating a condition she will send you to the right specialist. During my pregnancy my OB was horrible.  Dr. Lucy cared very much and was able to prescribe the correct medication for me.  She is very patient with people like myself who have multiple medical conditions and depression.  She has also always sent me to great specialists when I have needed them.   She truly cares about her patients!!! 	4	3	5	5 	Insurance:Aetna
4	-1	Dr. Nguyen is a no nonsense kind of doctor that talks very very fast.  I was a new patient with Fibromyalgia and she told me she could help me with a couple of refills but that she doesn't deal with Fibromyalgia.  In other words you need to find someone else to help you. 	3	3	1	3 	Insurance:Unknown
4	1	I love Dr. Lucy.  She really cares about her patients, and she is very knowlegable about a variety of medical issues. 	5	4	5	5 	Insurance:Unknown
4	1	genuinely listens and is willing to try different avenues to help you feel your best. 		5	5	5 	Insurance:Unknown
5	1	I loved having Dr. Norland as my OB. I was TERRIFIED when I had my daughter and she was so supportive. I also really connected with her nurse/assistant and enjoyed my visits with both of them.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	I was looking for a new OBGYN because I wanted to get prgnant and I had a strange ultrasound a couple years back indicating I might have PCOS. I &quot;interviewed&quot; Dr. Norland and she was very upbeat and positive encouraging me that everything will be fine. I wanted to believe her. I had my annual with her and I asked to see the ultrasound of my ovaries. She blew off my request saying everything was fine. I finally went to a fertility doctor because I wasn't having normal cycles and sure enough I have PCOS and it's very obvious on the ultrasound. Dr. Norland didn't even look at it! Would not suggest seeing her if you want someone that's going to listen to you. Plus her nurse is not engaging nice or friendly.  	2	4	1	2 	Insurance:United Healthcare
6	1	Fabulous Doctor!!  I highly recommend Dr. Novia! He is so kind and loves his job!  I had a breast augmentation and couldn't be happier!!  Love love love him!  His staff was gracious, the nurses were beyond helpful and compassionate!  I am so happy that I chose him to do my surgery!  You know right when you meet him that he is a great person in and out!  My husband loved him and he was there for me day and night and the staff is always available and ready to answer any question any time of day!!  Great experience and a great Doctor make for an overall great result!! :)  Thanks so much Dr. Novia for being your best and not just going through the motions!!  You are fabulous! 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Novia is amazing, my procedure turned out better than I could have imagined.. My breast are BEATIFUL... I LOVE THEM AND SO DOES MY HUSBAND. 	 9/29/09	5	5	5	Insurance:Unknown
6	1	I was fortunate enough to have Dr Novia as my Plastic surgeon after being diagnosed with breast cancer. He did an excellent job and was extremely, knowledgeable confident and caring 	5	5	5	5 	Insurance:Unknown
7	1	I have Been seeing Dr. Ng since 1994. I have transferred to other doctors who were closer to my home. I always went back to Dr. NG as i wasn't as satisfied with the other doctors. I have had billing problems with Northgate medical in the past, however they seem to have solved those issues.  	4	5	5	5 	Insurance:Aetna
7	1	has been a very Dr.  that I trust for many year and my family really like him 	4	5	5	5 	Insurance:Aetna
