dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Paras is the best! My entire family goes to her, &amp; we all highly recommend her. She won't hesitate to send us to a specialist, she calls to check on us if we are seeing a specialist and wants to know what we think about our treatment. She will take our phone calls and basically do whatever she needs to make us feel comfortable and confident about our diagnoses and treatments.  We trust her completely! 	3	3	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Paras is an extremely knowledgable, professional and caring doctor.  She goes out of her way to make sure that she understands your concerns and that you receive the treatment that you need.  She is very good at providing the whole range of treatment that is appropriate from a family practitioner, and when something is beyond her scope of knowledge/training she and her staff are great at managing the process of referring you to a specialist and following up to make sure that you get the treatment that you need.  She is a true Family Practice doctor and the fact that she treats my husband and myself plus both of our children makes it very convenient if there is something contagious going through the house.   She was recommended to me by a friend who also raved about her and I, in turn, would not hesitate to recommend her to anyone 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Dr. Paras is GREAT, She's never rushed, takes her time and answers any questions I have. I have been going to her for 4 yrs. She does everything and is very thorough. She also has a great sense of humor and is very friendly.I highly recommend her.  	3	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	The clinic and staff are great. Not like anything I expected, having seen other clinics on the south side that could all learn a lesson on customer service from RBI and Scott's staff. Always pleased! 		5	5	5 	Insurance:Unknown
2	1	This guy does care and he gave me more real results than I could have ever asked for from any other doctor. His site www.professionalpsychiatry.com is great! 		5	5	5 	Insurance:Unknown
2	1	Been to over five psychiatrists, and will stay with Scott. He always knows his stuff, has great staff, and he cares, is very genuine, professional, and plays no games. Got the right meds and great psychotherapy. Never felt better. 		5	5	5 	Insurance:Unknown
3	0	.  	3	2	3	2 	Insurance:Blue Cross / Blue Shield
4	-1	Lacks knowledge.  Diagnosed me with lack of thyroid function, put me on high strength medication until another doctor told me that absolutely nothing was wrong with my thyroid! 	4	4	1	1 	Insurance:Unknown
5	-1	This was an in-network doctor, so this is who I saw for foot pain. The problem has improved somewhat, but this doctor's billing and bookkeeping is extremely inaccurate and inefficient. Following the first appointment, the insurance paid a small portion, but the bill for the balance arrived too late to file for medical flex spending so it was paid out of pocket. It was then that I discovered I was billed for &quot;custom&quot; orthotics. (Insurance pays for orthotics, but not nearly what these cost.) Since I'd signed the standard insurance waiver, I was responsible. There was no initial explanation that these were custom and therefore probably wouldn't be covered. In spite of this bad experience, I went for a second visit. Once insurance had paid, I received a bill showing a balance forward with no supporting data. Paid the bill anyway, and now, two months later, I'm told the account is being sent to collections for nonpayment. Needless to say, I won't be returning.  	1	3	2	1 	Insurance:CIGNA
5	1	We are fortunate to be double covered in insurance but thier office will only bill the primary insurance company.  I submitted the remainder of the balance to the secondary insurance company and they sent the check to the Dr. office even though I had already paid the Dr.  When I called the Dr.'s office for a refund (around $500), I was given the run around.  My calls to the accountant were not returned and the receptionist told me I had to wait &quot;my turn&quot; which would be approximately 30 days.  I threw a fit and when I said I would be coming personally to the office to talk to the Dr., the accountant called me and I had a check the next day. 	2	5	4	4 	Insurance:Unknown
5	-1	Treatments did not work. Rude staff. Unresolved billing issues. I felt they were all unprofessional. They talked badly about me to their other patients - and it got back to me.  	1	2	1	1 	Insurance:Medicare
6	1	I couldn't recommend Dr. Partington more for reconstructive surgery. He's incredibly gifted and he seems to honestly care about his patients. I went in after suffering a chemical burn on my scalp that left me with a bald spot. After a couple of surgeries the bald spot is gone, albeit I'll have a scar for life but that is just the cost of the chemical burn. He was wonderful and I highly recommend him. 	4	4	5	5 	Insurance:Unknown
6	1	I have had weight issues my entire life. I had a lap-band in 9/07, I was in a major car accident 4 months later, I had back surgery because of this accident, and I was diagnosed with Hasimoto’s disease. This had a negative impact on my overall health and mental wellbeing. I knew that I was going to struggle the rest of my life with my weight.  I decided to have liposuction on several areas to use as a tool, to help concur a healthier lifestyle.  Dr. Partington was an excellent jump start to my overall health. Dr. Partington and his staff made me feel very comfortable, they had every base covered and I appreciated the honesty and professionalism they provided. Rachel is one of the sweetest, most helpful nurse assistance. Dr. Partington is a gifted plastic surgeon. He has wonderful bedside manners and treats you like an individual and not just a number. He is very compassionate, concerned about you as a person, your journey and your final result.  I recommend Dr. P to everyone I know. 	5	4	5	5 	Insurance:Unknown
6	1	amazing office.  Dr P and staff were very helpful explaining the procedure to me.  Wonderful pre and post treatment.  Would highly recommend Dr to friends and family.  I am a very satisfied patient. 	5	5	5	5 	Insurance:Unknown
7	1	Very friendly and skilled working with me to get my eyes rechecked and fit for contacts.  Easy to work with. 	4	4	5	4 	Insurance:Unknown
8	1	. Dr P has done both of my c sections and will be doing a 3rd in a few months, i recommend dr paley to women who have had at least one child previously unless you are a no nonsense kind of person, not that Dr P wouldnt answer your questions hes just very fast and efficient and a no need to waste time kinda Dr, whos still i appreciate and like he doesnt BS around he just does his job answers your questions and lets go on your way, if you are someone who needs someone to listen to your 500 questions and needs to be explained everything in detail and you dont trust your OB then this is not the Dr for you! 	4	5	4	4 	Insurance:Molina
8	-1	I would NOT recommend Dr. Paley to anyone. He was on-call doctor at the Overlake Hospital (where my child was born) and he saw me the day after the delivery, in order to discharge me. Unfortunately, the OB who was following my pregnancy from the very beginning was not available. I had some post-delivery concerns, which I voiced to him and his exact words to me were: &quot;There is no return policy, okay&#63;&quot; Very condescending. He didn't answer my questions or was helpful in any way. I wouldn't choose this &quot;doctor&quot; for myself in the million years. I went to my OB afterwards and what a difference in bedside manner and empathy. Shame on you, &quot;Doctor&quot; Paley.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
8	-1	Poor service.  Patronizing attitude.  Was recommended by  friends as a good ob but I didn't bond to him.  	1	2	2	2 	Insurance:United Healthcare
8	1	Dr. with good patience and bedside manners; listens to you and answers all questions very well.  	5	4	5	5 	Insurance:United Healthcare
8	-1	If you are female and post-childbearing years, I would discourage your selecting this doctor.  I felt like he was on a clock (10 min. max per patient) and he had to get in and out to his next patient, regardless of my questions regarding peri-menopause (I had three).  Questions were answered abruptly, i.e., &quot;I'm sure you don't want to consider HRTs so sometimes you just have to learn to deal with it.&quot;  My favorite response had to do with decreased libido during peri-menopause.  Expressing little empathy, he told me that sometimes you just have to 'reach for the astro-glide and just tough it out.'  I will not be returning.  	2	1	1	2 	Insurance:Blue Cross / Blue Shield
8	1	Dr. Paley delivered both my sons in unscheduled c-sections. He is attentive, laid-back, reassuring and explains complicated matters in easy to understand terms. On my first delivery, they had to induce labor. He stopped by the hosptial that night to check on me and the nursing staff watched his young kids while he tended to me. For my second delivery, he came in early in the morning before he had to leave on vacation. The timing was lucky but, in both cases, I really appreciated how he made the effort to take care of me and not turn the delivery over to the doctor on call. Also, as an &quot;older than average&quot; mother, I had a lot of questions and concerns. He always took plenty of time in my appointments to address all my concerns and his staff was helpful, responsive and pleasant during appointments and on the phone. I had a few complications following the second delivery, and he called me directly a few times to check on my progress.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Dr. Paley has great bedside manner and I found him to be a very sincere and an excellent OB.  He delivered my 1st 2 sons, in 1999 and 2003.  He was on vacation for the delivery of my 3rd son in 2006.  These were all c-sections, the 1st 2 being emergency ones.  He answered all of my questions each time honestly and in laymen's terms.  He was not condescending.  He never seemed in a hurry.  I think that he is one of the best OB/Gyn's in the area.  Even though he is in a big practice, he makes you feel like you are in a small practice.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
8	1	dr. paley delivered both of my daughters. The first was by unplanned c-section, following 9 hours of labor. I got an infection from the surgery 3 weeks later which was most likely due to some placenta being left inside me. That said, Dr. Paley was very attentive and even took the time to call me from home on one of his days off. My second c-section was scheduled and went off without a hitch.  	4	3	4	3 	Insurance:Blue Cross / Blue Shield
