dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	-1	commentsExtremely rude and the worst bed side manner ive ever seen. my mother has been vomiting and in intense pain for weeks. dr barclay not only told her that there was nothing wrong with her, but he made her feel so inferior that she was visibly upset. Shame on you dr barclay, the patients that go to these facilities are the ones that assure you a pay check. I would love to see your press ganey scores and i cannot wait to get the survey in the mail. 	1	1	1	1	Insurance:Unknown
2	-1	 I had just seen this Doctor at Mon General Hospital.He makes you feel there is nothing wrong with you and his comments makes you feel where you just want to give up on life.Yes I feel that away right now.All because your test don't show the pain.He makes you feels like your crazy in the head.  	1	1	1	1	Insurance:HealthFirst
2	1	commentshe runs on time! 		5	5	5	Insurance:Unknown
2	1	commentshe is an excellent compassionate doctor 		5	5	5	Insurance:Unknown
2	-1	commentsThis doctor did not look at me while talking with me, and made bizaare comments when I tried to discuss my history of depression with him. I was very uncomfortable with him, and soon found a much more compassionate physician. 		3	1	1	Insurance:Unknown
5	-1	commentsWe started going to Dr. Bailey about 2 years ago and at first everything was fine.  But for the past 6-8 months everything has gone down hill to the point we are considering looking for another Doctor. When you make an appointment you wait forever before you are seen, and then you are seen for maybe 10 mins. She has never taken lab work on my husband and I in the 2 years we have been going. I have also called and in the past had no problem with staff but whoever works front desk now needs a serious attitude adjustment. She is a complete witch! We do have insurance and work very hard and wish our doctor cared as well. 	2	1	2	2	Insurance:Unknown
5	-1	 VERY unhappy with this dr!  She does not spend much time w/ you & is a very awkward person to talk to. I do not feel that she is that knowledgeable or helpful. The most frustrating part is that it is IMPOSSIBLE to talk to anyone on the phone when calling the office. Your only option is to leave a message. I have never had them return a call the same day & most of the time have to call 2 or 3 times to get anyone to call back. Staff is VERY RUDE! It's hard to feel that your doctor cares about your healthcare when it takes so much effort just to have a phone call returned. Took over 3 months to get a referral made. Have had problems w/ the billing dept. too. On more than 1 occasion the excuse of a staff member being sick has been used to explain why there is no punctuality. I feel that is a poor reason to ignore patients needs. Also, took more than a week to get a RX approved by her for insurance needs. She was not bothered that I was off my meds for over a week when I asked her about it.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
5	1	commentsGreat doctor. Actually took the time to listen to me and answer my questions. Explained different options to me and supported my decision. 		5	5	5	Insurance:Unknown
5	-1	 Dr. Bailey is in & out & spends very little time with you. You spend more time waiting than actual time with her. Not very sociable. Office staff is rude & do not expect to ever talk to a human being when you call. Always have to leave a message for an appointment, etc. & hope that they return the call within the next 48hrs.  		2	2	2	Insurance:Medicare
6	0	comments 	4	4	4	1	Insurance:Unknown
14	1	commentsDr. Barber is a great dentist in Morgantown. She and her staff are extremely  friendly and knowledgeable and answered any questions I had regarding my treatment.  I am unsure about the previous negative reviews because this was not my experience at all. 	5	5	5	5	Insurance:Unknown
14	-1	commentsShe has an attitude and is very rude.Her and some of her assistants stood in a circle out in hall talking quietly and I got the impression it was about me. This happened more than once. Made me feel stupid when I asked questions.  When I expressed my concerns about amalgam fillings and mercury, she actually put an ad out in the paper as to how safe these fillings are. 	1	2	1	1	Insurance:Unknown
14	-1	commentsThis was the worst experience that I have ever had at a dentist office. First, I was told that the appointment for a new patient would be $218.00 and I get there and was told that it was $318.00 and that just included a cleaning and X-rays. The X-ray tech cut the roof of my mouth and under my tongue and it was sore for days. She seemed like she did not even want to be there. The dental hygenist cleaned my teeth and was very nice, but it seemed that my teeth were not even clean when she finished. The dentist came in for about 3 minutes and was very rude, just her whole attitude and the way that i was treated. I was told that I needed so much work done on my teeth by this dentist and I went to get a second opinion and the only thing that I needed was two fillings. I would not recommend this place at all!! 	1	1	1	1	Insurance:Unknown
14	-1	commentsThis doctor was very rude, inconsiderate, and unknowledgible. 	1	3	1	1	Insurance:Unknown
16	-1	commentsI was unable to make it to a STAT CT Scan because I could not drive, or find a ride. I called in the next day to explain this to Dr. Bailey, so that it could be re-scheduled. Instead, I was mailed a notice of termination as a patient. I had to find another doctor to go to in my area. 		1	1	1	Insurance:Unknown
29	1	commentsDr. Ballester was my oncologist at Cancer Treatment Centers of America in Zion, IL from 1997-1999.  I had two stem cell transplants and the man is brilliant and truly gave me back my life.  Thank you. 	5	5	5	5	Insurance:Unknown
32	1	 Dr. Bandak is extremely helpful and knowledgeable in his field of practice. He made me feel very comfortable in his office. He was highly professional and kind. I would recommend him to anyone i meet needing a plastic surgeon.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
32	1	 I lost 80lbs and Dr. Bandak performed abdominoplasty on me.  He is a wonderful doctor.  My surgery turned out great.  I look better now then when I was in my twenties.  He and his staff were both kind and professional.  I am so glad I had him do my surgery.  I would recommend him to my friends and family in a heart beat.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
32	1	commentsDr Bandak is great. The staff is great. Very courteous and pleasant. He explained everything very well. The only negative is the wife/manager. She can be intrusive and seems pushy, but I love the doctor! 	5	3	5	5	Insurance:Unknown
32	1	commentsDr Bandak is the only doctor for me.  He really cares about you and if you are happy with his work. 	5	5	5	5	Insurance:Unknown
32	1	 I really like Dr Bandakl.  He is very pleasant and willing to answer all questions.  He makes sure that he gives you his cell phone number.  Everything didn't go perfect and I had to have additional surgery.  I ended up in the hospital for 3 weeks.  He went out of town for 3 days and he made arrangements for his nurse to come in to change my dressing.   His wife and office staff are fantastic too' 	5	5	5	5	Insurance:Blue Cross / Blue Shield
