dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	i had her paged for my child on thursday night and on monday still never heard anything been week later and still nothing it just don't say a lot for a doctor when they do that with a sick child..and well you neverr know when her office is open or closed cause you can never reach anyone in there either...  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
1	-1	VERY BAD DOCTOR ON EVERY LEVEL!!!  She doesn't like you to take your children to the hospital, even during emergencies.  Seems to want everything secretive so nobody finds out her plans of pt. management or lack thereof. 	1	1	1	1 	Insurance:Unknown
1	-1	I ask her what the difference was between swine flu and the seasonal flu, and she was very rude.  She raised her voice at me and said stop calling it the swine flu, don't call it that no more.  And then she went on and said that it was the same as the seasonal flu that there was not a difference in them.  I contiuned to ask her questions and with ever response to my question she was rude and not helpful at all.  She talked down to me like my concerns for my kids was not important. I don't think she has very good bedside manners at all.  Every other Dr. I have ever been to has answered my questions with alot of detail and concern. I have also noticed that she acts like she is in a hurry to get you out of her office like she doesn't have the time. My opinnion if you go into the medical field especially dealing with litte childern than you should at least enjoy childern and your job.  Dr. Cabes attuide makes me feel like she doesn't enjoy either of them.  	3	2	1	1 	Insurance:Medicaid / Medi-Cal
1	-1	you can get an appointment whether she keeps your appointment is the problem my girls have had three    appointments that she has rescheduled my4 month olddaughter has seen her at all i schudeled an appointment for her when she 2 months old dr cabe has resheduled all of them for some reason or another 	3	3	1	3 	Insurance:Unknown
2	1	Helped me extremely well with my anxiety. Found a solution for me within a few months.  	5	5	5	5 	Insurance:UPMC
2	1	Very Conscientious.  Up-to-date info. Treats each patient as if he or she is only one. 	5	5	5	5 	Insurance:Unknown
3	-1	Doctor did not listen. After giving me a medication that was too expensive, pharmacist attempted to contact doctor to order something more affordable. Doctor immediately accused me of med seeking, though the medications were in no way controlled substances. He then sent me a certified letter telling me he could no longer see me.  		2	1	1 	Insurance:Blue Cross / Blue Shield
4	-1	Dr. Coleman is very cold. When I explained to her my periods were coming early she told me I was incorrectly taking my birth control. I told her I'd been on the pill for years, and knew how to take it, but this particular brand was causing me trouble, and sickness. Her staff is kind, helpful and amazing all around. They are usually the ones who call in my prescriptions and they are the ones who called the pharmacy to tell them to change my brand. When I inquired as to a different type of birth control Dr. Coleman told me I could only take &quot;the ring or the pill&quot; I asked about two other types, and asked why she refused to even discuss them and she only repeated &quot;the ring or the pill.&quot; No reasons given. She's also never on time. Always prepare to wait for your appointment. Once you're in, it's over in minutes. She's very crass, and I don't care for her bedside manner or lack of explanations. I am currently in search of another doctor. 3 routine visits with her is enough.  	5	1	1	3 	Insurance:Blue Cross / Blue Shield
4	-1	Dr. Coleman was on call when I went to the ER w/a 8cm ovarian cyst- the worst pain of my life!  Despite knowing this, she refused to come in to look at me and wanted me to wait overnight until she felt like coming in, in the morning.  I couldn't stand the pain, so I insisted to the ER Dr. that she transfer me to Pittsburgh, where they immediately (4 am) did surgery because they were so worried about the effects of the cyst, and the risk that it posed to my unborn child.  Knowing the same set of facts, Dr. Coleman could not be bothered to come in or act with any urgency (like sending me to Pittsburgh earlier).  If it was up to her, I might have lost my ovary and my baby.  The pain was so bad that I was bowled over in pain even with 3 doses of morphine.  So I don't know what Dr. C is like in person, but she doesn't seem like a terribly dedicated or knowledgeable physician.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	GREAT BEDSIDE MANNER, COMPASSIONATE 		1	4	4 	Insurance:Unknown
6	1	 	4	2	4	4 	Insurance:Unknown
7	-1	Dr.Cassim has an arrogant attitude and a difficult accent to understand. He was very unhelpful and would not explain anything. I did not get the impression that he knew much.  would not recommend him 	2	3	1	1 	Insurance:Aetna
7	-1	Dr. Cassim recommended that I receive an ileostomy (bag) stating that it was the &quot;gold standard&quot;. This was also the recommendation of the GI doctor, John Shammaa. I consulted Cleveland Clinic and learned this to be untrue and had a laproscropic assist, total abdominal colectomy with illeorectal anastamosis (removal of large intestine only) performed w/no issues by Dr. Dougherty out of Fairfax, VA. Dr. Cassim also relayed a story of a situation in which a patient requested to go with the procedure to avoid the bag and during the operation, Dr. Cassim gave him the bag against his wishes because Cassim decided the patient wouldn't follow up with exams properly. This type of god-playing scared me away more than anything else. 	1	5	1	1 	Insurance:Unknown
8	1	Good guy.  		3	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Amazing personality and medical knowledge. 	5	5	5	5 	Insurance:Unknown
10	1	he is a wonderful doctor, board certified and very commited to his patients. 	5	5	5	5 	Insurance:Unknown
10	1	I've been with this doctor for years and he is very helpful. Somewhat knowledgeable on certain areas and will recommend other local specialists if needed. Definitely would recommend.  	4	4	5	4 	Insurance:Blue Cross / Blue Shield
10	-1	.  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
10	1	This doctor really knows his stuff!  He was a pharmacist before becoming a physician.  He cares for his patients and is not above waiving a fee for those who are truly in need.  Both he and his staff are true professionals with empathy and concern for the total well-being of the patient.  I would highly recommend him to anyone in need. 	5	5	5	5 	Insurance:Unknown
11	1	extremely helpful, very knowledgeable.  He really cares about you and is the best diagnostician I have ever seen.  Wish he could be my family doctor.  I have total faith in him. 	5	5	5	5 	Insurance:Unknown
