dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
5	-1	comments Paid/Co-pay:$10	1	2	1	1	Insurance:Unknown
22	1	commentsFriendly, knowledgeable, great staff. Dr. Erwin is excellent in his work and has an A+ , approachable, down to earth personality. On time, affordable, sympathetic, energetic. Highly recommend 	5	5	5	5	Insurance:Unknown
29	1	 Dr Eliers is one of the best doctors in my experience.  He takes the time to listen, is friendly and has knowledge of specialists in area should you need one.  He is my GP, I hope he doesn't retire soon.  	4	5	5	5	Insurance:Aetna
29	-1	commentsThis man is the worst so called Doctor I have ever went to. He is a DO., I would add NT to that. I can not say anything else because of the disclaimer on here. I would go anywhere else. 	1	1	1	1	Insurance:Unknown
31	1	commentsDr. Ellis has been my doctor for 16 years. He has become a member of my family. He saved my vision and possibly more since he had recognized complaints i was having as a possibly more complicated problem. I found out i had a chiari malformation after something he heard just wasnt right. He is the best doctor i have EVER had and recommend him to everyone! 	5	5	5	5	Insurance:Unknown
35	1	 Dr. Edwards is a God send. For the longest time, I kept having really bad abdominal pain that kept flaring up. Everytime that I went to the emergency room they told me it was just rupturing cyst on my ovaries. Dr. Edwards took the time to explain everything, listen to every concern I had, and check up on my. My finacee was very happy too because for the first time in over 3 years I was able to live my life pain free. The staff is absolutely wondeful too, always trying to help whenever needed and will squeeze you in for any emergency.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
35	1	 I love dr. Edwards, he is a great doctor. I lost my baby at 21 weeks pregnant and he was so good to me. If you need a baby doctor go to him. You will not regret it.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
35	1	 Dr. Edwards is the best! He delivered our baby girl. His staff is always positive and will answer any questions without making you feel embarressed or askward.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
35	1	 Dr. Edwards has a good reputation in the area.  He went the extra mile for me this week.  I have had concerns for a while over pain issues. He ran test on me to find out what was going on. I appreciated that he listened to my concerns and took action. I will also say he is the most excited Dr.over your pregnancy I have ever known. He shares intimate joys that you never forget with him.  The first time I saw my sons heartbeat he seemed as excited as I was. There is a magic to Dr.Edwards. I think it is because he has a heart for women.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
35	1	commentsDr. Edwards and his staff are wonderful and caring my I can't say enough about him and his staff when he del. my child I could not have ask for better care.Love them all. 	5	5	5	5	Insurance:Unknown
