dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Gone to him my whole life, and he always goes above and beyond what he is required to do, and he is always very professional. I wouldn't trust my teeth to anyone else.  	5	5	5	5 	Insurance:Aetna
1	1	Dr. Harshbarger is the most kind, compassionate dentist that I've ever met.  He has come in on weekends and late at night to work on my family and me.  His technology is better than anyone in the area and he makes a effort to stay educated.  His manner is one of caring and removing the fear of going to the dentist, one of the most stressful events in a person's life.  Keep up the great work Dr. Mike! 	5	5	5	5 	Insurance:Unknown
1	1	The only problem i have is that he pinches my arm while working on my teeth 	5	3	4	5 	Insurance:Unknown
1	-1	I had a dental implant and he messed up the crown. He filed it down to nothing and my bite if off. I kept going back to try and get it fixed, but he kept acting like I was crazy and his staff acted like I was just trying to cause trouble when I wanted was to have a functional tooth. He took impressions twice and the crown he put in had to be filed to nothing. Now I have a terrible taste in my mouth and am afraid to go to anyone else or back to him. I do not know what I am going to do. He acted impatient and short fused with me. It was a terrible experience.  	2	2	1	1 	Insurance:Blue Cross / Blue Shield
1	1	This previous post sounds insane.  I'm 100% positive that its content is a complete misrepresentation or flat out lie.  I've been treated by Dr. Harshbarger since I was a little girl as has the rest of my family.  Yes, he's interested in chatting casually and/or being friendly while treating patients, no that does not make him a creep as the previous poster would have you believe.  He or she clearly has a vendetta because a tooth that had to be filled had to be removed later.  This is not unheard of.  It amazes me when people use the internet as a way to defame the character of others with no accountability, and its nothing short of cyber bullying.  What's next, accusing your dry cleaner of assault because he couldn't get the spot out of your shirt&#63; 	4	5	5	5 	Insurance:Unknown
1	1	I've been coming to Mike since I was a kid, so I know him and his practice very well. My wife, four children and I work with orphans in the bush of Africa, so we only make it back to the States every couple of years. Mike and his staff go OUT OF THEIR WAY to get us all in there quickly, showing great care and concern for our dental needs. His staff is kind, caring, and genuinely interested in us. They are professional, yet very friendly~ what you hope to find in a West Virginia practice! My young children LOVE Mike, as he is wonderful at loosening them up, making them laugh, and providing them a very positive dental experience. Mike treats my wife and I with care and respect, something I am always so thankful for. He works hard to stay up to date on the latest technology and practices, is very knowledgeable, funny (yet professional), and he works both thoroughly and quickly (something I'm always thankful for!). I would highly recommend Mike and his staff to anyone. 	5	5	5	5 	Insurance:Unknown
1	1	An old-fashioned dentist who keeps up on modern dentistry.  I once told him my spouse had an infected tooth that was &quot;killing him&quot;.  Dr. Mike's response, &quot;How long will it take you to get to the office&#63;&quot;  If he runs behind, it is because he is working in dental emergencies.  His medical staff is great.  His receptionist is so rude and bad, that I once said if I had not been coming to his office over 30 years, I'd never have gone back.  Dr. Mike now allows payments on time.  You don't have to pay it all at once.  Once a week he donates time at nursing home.  From a family of doctors, he did not get out of VietNam service.  He is a combat Veteran and comes from a fine old West/Virginia family.  3 generations of his family have been treating 5 generations of my family.  SUPER GREAT DENTIST~!!!!! 	 4/12/10	2	4	5	Insurance:Unknown
1	1	Great doctor whom is always helpful in anyway! Always keeps you laughing and feeling good (although when does it feel good to go to the dentist). I never know when he puts the needle in to numb and I like that because I don't like needles. 		4	4	5 	Insurance:Unknown
1	0	After getting a filling, the tooth started hurting less than a week later. Come to find out, it needed to actually be pulled. Could he not see that when he filled it&#63; Also, he was more concerned about personal details of my life than my teeth. Very touchy-feely kind of guy. He made me extremely uncomfortable. Even rubbed my shoulders a little and asked me to stand up and face away from him so he could check my spine. Said that this had a direct effect on your teeth. That's a load of bull biscuits if I ever heard one! DO NOT recommend this jerk to anyone. He still charged me almost $200 for the filling in the tooth that had to be pulled less than a week later!! 		3	3	3 	Insurance:Unknown
2	1	Dr Craig was very personable and explained everything in great detail. I had a good experience. 	5	4	5	5 	Insurance:Unknown
3	1	Excellent, caring Dr. I moved to NC and really miss the medical care he gave. 	5	4	5	5 	Insurance:Unknown
3	1	Dr. Hanna is my mom (and was my dad's doctor).  He is the the kindest, most compassionate, caring doctor I have ever seen.  I can not begin to say enough about the &quot;EXCELLENT&quot; care he has provided to my parents.  I would recommend him to anyone.  He is a good Christian man.  	5	3	5	5 	Insurance:Tricare
3	-1	He doesn't listen to any concerns, then rushes you out the room after five minutes. This is after you have sat in the waiting room for 2 hours. He obviously overbooks himself, which I find very greedy. If you have a continuing pain, he will assure you you're fine...until you end up in the ER 9 months later! Either an idiot or just doesn't care...either way, I would give him a .001 star out of 5. 	1	1	1	1 	Insurance:Unknown
3	-1	He admitted my mother to the hospital with an acute abdomen and failed to follow up with her thru the night. She was misdiagnosed by radiology and even though her symptoms progressively got worse, he did not bother to find out what was going on with her. She died a horrible death due to his lack of concern.  	1	1	1	1 	Insurance:Medicare
4	1	 	4	4	5	4 	Insurance:Unknown
5	0	I would never go back to this man.  He has a poor bedside manner, didn't diagnose correctly and almost cost me my life. No, I would not recommend him to anyone I knew.  	5	5	1	4 	Insurance:Anthem
6	-1	.  	1	2	1	2 	Insurance:Blue Cross / Blue Shield
7	-1	 	2	1	2	2 	Insurance:Unknown
7	1	Haved used Dr. Hanna for many years and would not go anywhere else.  Trust her with my vision completely 	5	3	5	5 	Insurance:Unknown
8	1	Dr. Hashem is a great doctor who is very knowledgeable, personable, caring, understanding, empathetic, and professional. I would highly recommend him to any new patient.  	3	2	5	5 	Insurance:Blue Cross / Blue Shield
8	1	. Need better timing 	3	1	4	4 	Insurance:Medicare
9	1	Dr. Hanley is awesome. I can really tell he cares about me and all aspects of my treatment. He is the best psychiatrist in the area. I have seen most others. His staff is tremendous as well.  He even makes personal telephone calls when warranted! 	5	5	5	5 	Insurance:Medicare
9	1	He is a very caring psychiatrist that genuinely want to help his patients.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
10	1	Great doctor. At fifteen my bowels ruptured. He did amazing work and made me and my family feel very good about everything we were going through. Very friendly! Would recommened to anyone. 	5	5	5	5 	Insurance:Unknown
11	1	Dr. Hunter has delivered all 3 of my children.  He has been my gynecologist for 20+ years.  He may not look you directly in the eye, but believe it or not he has a fantastic sense of humor!  He is a wealth of knowledge on every topic I've ever asked.  I love the fact that every time I go to my prenatal visits, I actually see HIM and not a handful of physician assistants.  Without reservation, I would recommend Dr. Hunter to anyone! 	4	4	5	5 	Insurance:Unknown
11	1	I have been going to Dr. Hunter for twelve years and he delivered both of my children.  He is an excellant OB/GYB.  I had to have an hysterectomy 3 years ago and all went remarkably well.  I was only 32 and Dr. Hunter took great care of me, you couldn't ask for a better man.  He's a little shy but thats kinda nice to find in a doctor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	If you are looking for a OB that is on time - you'll never find one!  Babies don't come on a schedule and when I deliver I want my Dr. with me - not in his office - so I don't hold punctuality against him.  He can't help most of it!  He is very sweet and thorough.  I had many complications during and after my pregnancy and he and his staff have always been very helpful and considerate!  I wouldn't go to anyone else!!!!! 	5	3	5	5 	Insurance:Unknown
11	-1	 	2	2	2	2 	Insurance:Unknown
11	1	Dr. Hunter is very helpful with any situation or questions that I have for him. He really has a warm heart. His staff is very kind and willing to help. 		5	5	5 	Insurance:Unknown
11	1	I have been going to Dr. Hunter for 18 years. He is a great doctor, he takes time to talk with me and to listen to my concerns. I trust him with all my medical decisions. He really has a great staff also, everyone there is very kind. 		2	5	5 	Insurance:Unknown
11	1	I truly appreciate Dr. Hunter and his staff. The staff are very friendly and responsive and work hard to accommodate my schedule. Although busy, Dr. Hunter takes the time to answer any questions or discuss test results without making me feel like I'm &quot;on the clock. &quot; 		3	5	5 	Insurance:Blue Cross / Blue Shield
