dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I left Dr Murray as a patient after many years because some of the office staff is so rude, phone calls were never returned, and several health problems that were never taken care of or even looked into.  	1	2	2	2 	Insurance:Blue Cross / Blue Shield
2	-1	very rude and uncaring, will never see him again 	3	2	1	1 	Insurance:Unknown
3	-1	Worst doc I have ever been to, and that's saying something.  Tried to switch - she wouldn't allow it.  Got my medication wrong in my chart; no bedside manner; generally made me feel like less of a human.  Any other doc in the practice is great - they just need to get rid of her. 	5	2	1	2 	Insurance:Unknown
4	-1	.  	3	2	1	1 	Insurance:United Healthcare
4	-1	anyone planing to see this Dr. PLEASE check the web site West Virgina Board of Medicine. He was in Lewisburg on maplewood ave. sexual misconduct. 2 counts and 1 count of improper performance of surgery 	 9/25/09	3	3	1	Insurance:Unknown
5	1	I really enjoy the visit with Dr.  Morris he listens to your concerns and is very caring with my children he is very pleasant to everyone that comes in to see him 	4	4	5	5 	Insurance:Medicaid / Medi-Cal
6	0	Be prepared to commit 2 hours when visiting this doctor.  While everyone is friendly the staff is extremely slow!  This has happened over 90% of the time when going in for office appointments. 	2	2	3	3 	Insurance:Unknown
6	-1	seems knowledgble. 	3	2	2	2 	Insurance:Unknown
7	1	. very helpful,and careing for her patients 	5	5	5	5 	Insurance:Aetna
8	1	This doctor literally gave me back my life.......I was semi paralysed on my left side due to spinal stenosis and the operation he did almost completely alleviated that 	 8/9/10	5	4	5	Insurance:Unknown
9	1	He is a great Dr very detailed about the problem and what needs to be done.  Whenever my child is sick the staff gets my child in within the next day if not that same day.  The staff is very nice and helpful!  If I call in with questions the nurse takes the time to explain the answer.   Very glad to have hime as my childs Dr! 	5	4	5	5 	Insurance:Anthem
9	0	He doesn't seem to care about his patients.  It's in and out.  He doesn't explain things very well and doesn't try to help.  Also the office is very slow--I expect to wait a half hour or so, but when I wait 45 minutes when my child is literally the only one there, that gets really annoying.  I'm currently looking for a differenct doctor.  	3	2	3	3 	Insurance:Medicaid / Medi-Cal
9	-1	My 7 month old son had a rash and he accused my wife of being a drug addict because we hadn't brought the kid in yet. He prescribed some sort of cream that has been known to cause retardation in the development of children. I researched the cream when I got home and we decided that we were not going to use it. So I took my son to another doctor who said,&quot; He has dermatitis and you should rub Lubriderm on him.&quot; That is what we were already doing. My son broke a tooth the next day, after seeing the second doctor, and his rash went away. Still yet according to Russell Miller, we were bad parents with alcohol or drug problems and he wanted us to rub a drug that was still being tested and had already been known to cause development problems in children. Needless to say we never went to him again and our new doctor has done a very good job. My son is now almost 4 and healthy as can be. NO thanks to Russell Miller.  	4	4	1	2 	Insurance:Medicaid / Medi-Cal
10	1	Most knowlegabe Physician you will ever incounter! Always, consitantly seeking answers to your medical issues.   Has the best bedside manner. He shows genuine concern for you. He generally runs late with your appts, because he takes time with every patient. Every patient gets his undivided attention.   If you are a patient of his you will not be rushed out the door nor will you be talked down to. It is so easy to talk to him, he is so gentle.  He is like talking to your best friend, that's becasue he is one. I trust his judgement.  He always allows the patient to be a part of the recovery process. He knows when to send you out to a specialist and when not to.  He has no problem referring you when it is necessary. His front office staff is excellant! Not to mention his Nurses- Amy and Crystal you cannot beat them! The Doctor, Nurses and Staff all work togther like a team with the same goal. Seeing that the patient gets the best possible medical care possible.  	5	3	5	5 	Insurance:Aetna
10	1	My family has seen Dr McCann for several years.  He is very caring, takes time to talk to you, and listen to you.  He tries to help before sending you to a specialist or for testing.  Sometimes the wait can be long, but that is because he spends time listening to all his patients.  You don't feel rushed, like you didn't have time to mention something you wanted to talk about.  I recommend Dr McCann to anyone who wants a helpful, caring doctor.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
10	1	Dr. McCann is very personable, higly inteligent and  he always takes the time to listen to any medical complaints that I may have. He is very consientious he will double check through your medical history and any of the latest lab and test results before he makes a medical decision.  If options are available he will inform you of them.  He allows you to be apart of the process of getting better.   He discusses everything very clearly and in a language that you can understand.  He asks if you have any other questions.  My whole family sees him.  He usually runs late for appointments, but he will make it very  much worth your wait. I very much trust his advice.   No complaints here.  	5	1	5	5 	Insurance:Aetna
11	1	Dr. Mani was my urologist when I needed emergency surgery and went through the ER.  I rarely find that the docs I meet through the ER are this wonderful, but he really knew what he was talking about and did an excellent job.   Terrific bedside manner!  Glad to have found him! 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
11	1	He is very up front and honest. Great doctor. Good for cancer.  	5	4	5	5 	Insurance:Medicare
11	1	Dr. Mani is thorough, knowledgeable, and has spends as much time as it takes to research the patient's history, make a diagnosis, and follow up. 	5	4	5	5 	Insurance:Unknown
11	1	Very nice, knowledgeable and competent doctor/surgeon. Good staff. I would highly recommend. 		4	5	5 	Insurance:Unknown
12	0	 	4	3	3	3 	Insurance:Unknown
13	1	I was referred to her by a doctor I had been seeing for many years.  She was nice but the last appointment I had she had closed up shop and disappeared.  No one called me to tell me she was going and no one called me to cancel my appointment.  Imagine my surprise when I went to  my appointment and the office was locked tight.  	4	2	4	4 	Insurance:Aetna
13	1	Dr. McClellan is very knowledgeable and compassionate. She got my medication straightened up. 	5	5	5	5 	Insurance:Unknown
13	1	Doctor McClellan always listens to me. She is straight forward and tells it like it is. She is very positive, supportive and truly cares about her patients.  I highly recommend her.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
13	1	Excellent doctor.  She spends a long time with me evaluating my medical problems as well as my psyciatric issues.  She is very thorough, compassionate, caring.  She makes me feel like a human being - not just some patient to rush in/rush out.  ***Highly recommended***  Have actually referred her several times.  	5	5	5	5 	Insurance:Aetna
13	1	 	5	5	5	5 	Insurance:Unknown
14	1	Wonderful Doctor! Prompt, caring, and listened. Didn't try to rush me out the door. 	5	5	5	5 	Insurance:Unknown
14	1	 	5	5	5	5 	Insurance:Unknown
15	1	Excellent doctor who care about his patients 	5	4	5	5 	Insurance:Unknown
15	1	He saved my life 	5	4	5	5 	Insurance:Unknown
16	1	Best Doctor I have ever been to. Cured me without doing alot of unnecessary testing.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	Dr. McClung was my mother's physician for about 15 years before she passed away in 2005. My mother could be a difficult patient at times, but he and his staff always treated her with dignity and respect. I am convinced that if not for his care and concern, I would have lost my mother years earlier. Dr. McClung is one of the most intelligent, knowledgeable, and caring physicians I have ever known. Thank you, Dr. McClung.  You are truly one of the best! 	5	5	5	5 	Insurance:Medicare
16	1	I have been Seeing Dr. McClung for years,and fill he is a very good doctor.  	5	5	5	5 	Insurance:Medicare
17	1	Loved Dr. Mcginnis and Staff and WVU!! They were the greatest. They answered all questions I had, did thorough exams, and were very supportive.  Would highly recommend them to anyone 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
18	1	. i  think he is the best oalways helfull and good to talk to 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
18	-1	 	1	5	1	1 	Insurance:Unknown
19	0	Doesn't seam to like medicare pt. I got droped as a pt.  	3	2	3	3 	Insurance:Medicare
19	1	.  	3	4	4	5 	Insurance:Blue Cross / Blue Shield
20	1	Very knowledgable about procedure. Very punctual. Very caring.  Called at home to check after procedure!:) 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
21	1	The atmosphere at the office is comfortable, knowledgeable staff, caring. You are treated as if your a close personal friend, to each staff member, therefore you get that feeling that your the MOST important person of the DAY.  After my adjustment to my back,I always walk out refreshed, feeling great, able to tackle the World.  I have never had to wait a Long period of time in the Waiting Room or on the Doctor, the Staff and Doctor have the Scheduling down to an Artform, even has the extra time to talk to you about any concerns with out jepordizing a time conflict with their next patient.  	5	5	5	5 	Insurance:Aetna
22	-1	doesn't speak English very well and has no respect for disabled veterans or veterans.  	1	1	1	1 	Insurance:Veterans Administration
23	-1	I arrived at the ER in New Martinsville, WV. The staff was nice. The problem started with the doctor as he looked at my records. I requested an x-ray. Dr Monseau started my visit by accusing me of being an addict. He refused to do the x-ray. He went on to say that my family doctor, Dr Morris is not much of a doctor, in his opinion. He did not look at my back. He just ran his mouth until I got mad.  	5	3	1	1 	Insurance:Medicaid / Medi-Cal
24	-1	NO supervision in impoverished Wheeling in Appalachia West Virginia..is NOT an employee of either troubled Wheeling Hospital or horrifyingly troubled OVMC;  as a &quot;Morgantown Appalachia educated&quot; family doctor, does not seem to be competent in dealing with the complexities of depression, academic failure at ELITE universities, abusive alcoholism or the &quot;geriatrics&quot; of elderly/nearly blind drivers resultant in lawsuits.... 	1	1	1	1 	Insurance:Unknown
24	-1	Found this Morgantown educated family doctor less than competent or ethical in complex medical situations...Mercer is unsupervised and undisciplined in Wheeling: he rents a room at the Wheeling Clinic building but is not an employee of either (both are educationally and financially troubled with Ohio Valley eliminating staff) Wheeling or Ohio Valley hospitals.  Mercer has no supervision in impoverished Wheeling, as the availability of quality health care continues to decline in tandem with the precipitous and continuing decline in Wheeling area population and economic viability. 	1	1	1	1 	Insurance:Unknown
24	1	I am VERY disappointed with the care a relative of mine received (or did not I guess) from Dr. Mercer. I could go on & on, but let's just say he's not the doctor he used to be, and that's a shame. 	5	4	3	4 	Insurance:Unknown
24	1	This doctor's office is one of the most comfortable environments I've experienced in the health care field.  You're treated as family, and never talked at, the treatment is discussed with you, and I've always been able to call and talk to someone in regards to any concern I have.  I've been with this office for 20 years and will continue to be a patient of Dr. Mercer. 	5	5	5	5 	Insurance:Unknown
24	1	. Fantastic Doctor, I've been going to him forat least 10 years 		5	5	5 	Insurance:Aetna
24	1	I am a new patient to Dr.Mercer and feel that he is a very good doctor. I know many people that go to him and they all like him also. The nurses are very nice, I am glad that my friend referred me!!!! 		5	5	5 	Insurance:Unknown
24	1	I have been going to Dr Mercer since he began private practice 20 years ago. I never have to wait for an appt, get a live person when I call on the phone, love the office staff, and think Dr Mercer is very knowledgable and conscientous. My grandparents, mother, father and daughter are all patients of his, and we're all pleased with the care we get from both him and his nurse practitioner. I'm glad he's young so he'll be there for me for many more years! I'd recommend him highly.  		5	5	5 	Insurance:Blue Cross / Blue Shield
24	1	Dr. Mercer is one of the finest doctors in Wheeling. As far as his knowledge...he is more up to date than any doctor i know!! He is compassionate and smart. I think the other rating is ridiculous and very inaccurate 		5	5	5 	Insurance:Unknown
24	-1	He was quite non aggressive in his care of my family, including myself. Resulting in the 2 year growing ailment of my daughter that is now being attended by a pediatrician who immediately diagnosed her and is giving her the best care possible....now. 		1	1	1 	Insurance:Unknown
25	1	Dr. Midcap is one of the BEST Doctors I have ever seen. He is patient, kind, compassionate and very caring! He always takes his time with you and finds out what your problem is and treats it! The wait to see him is sometimes very long, but it does not bother me at all. I know that when my turn comes, he will give me as much time as all his other patients, no matter how late it is. There are so many people who feel the same as I do, and that's why the wait is so long to see him. You won't find another Doctor more dedicated to his patients than Dr. Midcap.  	4	3	5	5 	Insurance:Blue Cross / Blue Shield
25	0	At first he was very helpful but after a diagnosis there is no to little attempt to look for a coenciding or even a differnent diagnosis that should be made.  I spent 8 years in agony recieving wrong treatment.  	2	1	3	2 	Insurance:Medicare
25	1	Dr. Midcap is very knowledgeable, but at times I'm not sure he understands what I'm trying to convey to him. I explained to him my constant headaches, body aches and general fatigue, and he offered Fioricet for migraines and suggested a sleep study for the fatigue. I tend to think this diagnosis is incorrect, but I'm giving him the benefit of the doubt. He recently helped me switch depression medication, and knew a lot about the characteristics of what I was taking and what I wanted to take; and he provided samples to make sure that this medication was what I needed before I paid for it. His staff is always helpful and courteous, and service is usually prompt.  	4	4	5	5 	Insurance:United Healthcare
26	-1	got a hernia and infection after surgery. no bed-side manner. 	3	2	1	2 	Insurance:Unknown
26	1	He is a wondefull doctor a+ 		5	5	5 	Insurance:Unknown
27	1	. One of the nicest professionals I have ever dealt with,just a great docter 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
27	1	Replaced one of my knees.  He is an excellent doctor.   Highly recommend! 	5	5	5	5 	Insurance:CIGNA
27	1	 	5	5	5	5 	Insurance:Unknown
28	-1	I agree with the previous rating...this guy did not listen, look at my records, and to also add: he wanted to try some experimental procedure even though I had told him how many other surgeries that were previously administered to my body...he still wanted to put an implant inside my back...&#63;&#63;&#63; I am at my whits end for dealing with the extreme and chronic back pain I have experienced for several years now.  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
28	-1	Would not take the time to look at my records. Did not listen.  	3	3	1	2 	Insurance:United Healthcare
29	-1	 	1	3	1	2 	Insurance:Unknown
30	1	Dr Milroy is the best dermatologist.  He is wonderful.  He reminds me of a teddy bear. 	5	5	5	5 	Insurance:Unknown
30	1	He saw me within 45 minutes when I called about having shingles. He and his staff stayed after hours to help me, I was in misery. No other doctor I know cares so much about his patients, and he IS the best dermatologist in the state.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
30	0	He may be nice, but TRUST me, he needs to retire. 		1	3	3 	Insurance:Unknown
30	-1	I saw this dermatologist twenty years ago. He diagnosed four separate skin problems and it all turned out to be something else! He wrote four separate prescriptions, none of which helped my problem. Dr. Parsons is by far Charleston's best dermatologist! 		1	1	1 	Insurance:Unknown
30	1	Dr. Milroy is THE best at dermatology in this state. He is the nicest, kindest, most knowledgable doctor I have met in my 63 years. It is true he is hard to get an appointment with, due to his skills and reputation. It is true your visit make take longer than you expect, because he doesn't hurry with anyone and seriously sick people such as cancer patients are given priority. That is the way I want my doctor to be. It is kind of a catch 22 for a good doctor. People complain if they are rushed in and out during their visit and they also complain if the doctor takes too long to get to them. I personally do not mind waiting and getting a very thorough exam. I noticed in several of the previous ratings that they remarked he wasn't clear about explaining things. Nothing could be further from the truth. He explains everything in detail. You have to take time to listen.  		2	5	5 	Insurance:Aetna
30	0	Dr. Milroy needs to retire. From what I heard at one time, he use to be the best dermatologist in the area. When you go to his office for an appointment, make sure you have nothing to do the rest of the day. You will be in the waiting room 2+ hours before even getting called back, then you wait another 45 minutes to an hour before you even see him. I ended up changing doctors because of this. 		1	2	3 	Insurance:Unknown
30	1	Nice guy but didn't take a medical history & that worries me. Also takes forever to get an appointment. 		3	4	3 	Insurance:Unknown
31	1	I just got back from my first dental work experience with Dr. Mosley, and I couldn't be more pleased. I don't know how much it will cost yet (it was just a filling, but it was a big tricky one), but for me it will be worth every penny because he is the first dentist I've had in a long time that I feel I can absolutely trust to take the best care of my teeth. I have a number of dental issues ranging from an open bite to congenital malformed dentin and weak enamel, which many previous dentists have not taken into account when developing treatment plans. Dr. Mosley, however, was very conscientious of my unique needs and took the time to explain his treatment very thoroughly to me, even drawing some simple diagrams. He seems to be extremely knowledgeable (I think he said he has been a dentist for about 37 years) and willing to put in the time his patients need in order to get the best results and to understand their dental health. I am THRILLED to have found him.  	5	5	5	5 	Insurance:CIGNA
32	1	 	4	4	4	4 	Insurance:Unknown
33	1	She was very  understanding of my mother's age and problems, I think she is an excellent doc. 	5	4	5	5 	Insurance:Unknown
33	1	Best doctor we have had in several states, especially helpful with a condition a number of specialists had missed or failed to treat 	4	3	5	5 	Insurance:Unknown
34	1	I never had to wait long in the waiting room. Always makes time to answer your questions and concerns. Very friendly. 		5	4	5 	Insurance:Unknown
35	1	Excellent rapport with patients...Listens and actually talks to them not at them. 		4	5	5 	Insurance:Unknown
36	-1	Was late for intial consult (16 hours late). Spent a total of 15 minutes with the patient describing a procedure that had serious risks. Did not consult with the patient prior to the scheduled procedure. Patient was life-flighted--before surgery--due to complications that arose under the doctor's harmful and absent care. The risky procedure ended up not being performed. Another doctor reviewed the patient's charts, ran more tests and found the root of the problem--no risky surgery needed. Unfortunately, patient was left with diminished kidney functioning. 		1	1	1 	Insurance:Unknown
37	1	I really like Dr. Molina's bedside manner.  He is very calm and straight forward.  I wasn't very impressed with his staff in his Charleston office, however.  They are not very friendly, and as a matter of fact, my PCP wanted to make a new referral for a new problem, and the billing dept called me to make sure that I paid a $7.50 balance at that scheduled appt.  I had just received my bill for my post op appt.  Prior to my surgery, I was called by the same dept, and was told four days prior to my surgery that I had to pay over $600 down, or had to reschedule my surgery.  The woman stated that she had just checked with my insurance company, and that was my share.  I immediately called my insurance company, and the woman was totally incorrect.  My share was only $80.  But, I had to pay that share with a credit card or I couldn't have my surgery.  Because of these practices, if I ever have anymore orthopedic issues, I will go to another doctor.  	2	3	3	5 	Insurance:Blue Cross / Blue Shield
37	1	I cannot say enough regarding this doctor. He diagnosed my mother with bone cancer about 12 or so years ago. She passed away in 1997, but with his help I knew what to expect from her illness. He is very knowledgeable in his field and is very concerned about his patients. Thanks Dr. Molina for kindness and compassion! 		4	5	5 	Insurance:Unknown
37	1	My family uses Dr. Molina for any bone injury we have. He's very very knowledgeable and very helpful! You may have to wait a while to get an appointment and then wait for a little while out in the waiting room, but it's worth the wait!!!! 		2	5	5 	Insurance:Unknown
38	0	His stall is more helpful than he is.  	2	1	2	3 	Insurance:Medicaid / Medi-Cal
39	1	She is great.  spends lots of time with you and answers all your questions 	1	5	5	5 	Insurance:Sask Health
39	1	she is very helpful,knowledgeable and care very much for her patients. I took my mother to her and she is the first doctor to diganose her problem.  	3	5	5	5 	Insurance:Anthem
40	1	My three kids (a singleton and a set of twins)all have been patients of Dr. Momen since their births. My oldest (6 years old) calls Dr. Momen &quot;my friend&quot;. He gets upset when one of the other kids &quot;gets&quot; to go see Dr. Momen and he doesn't get to go. When all three (at that time 3 years, 4 months, and 4 months) had to be admitted to the hospital for a few days due to a respiratory infection, he went out of his way to make things as easy and comfortable as possible for us, including making arrangements for all 3 kids to be in the same room. Any time I call with a concern, I am given information or an appointment very quickly. Follow-up phone calls are often part of illness treatment, and are handled by Dr. Momen personally, not a nurse. Also, immunizations are administered by Dr. Momen, not a nurse. I wouldn't trust my kids to anyone but the best. That is why they are patients of Dr.  Joseph Momen! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
40	1	During my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.  I felt this visit was an amazing success!Overall I would rate this visit : outstanding! 		5	5	5 	Insurance:Unknown
41	1	Dr. MacKay is one of the most knowledgable and caring physician.  She &quot;listens&quot; to her patients, which to me, is a key to treatment.  Rate her very high! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
42	1	DR.MAXWELL REMOVED MY GALLBLADDER IN JUNE 07, HE DID A GREAT JOB AND I HEALED QUICKLY. HE'S A GREAT SURGEON. 	5	5	5	5 	Insurance:Unknown
43	-1	I visited this Dr on 3 occasions when I was in search of a PCP and ultimately a referral to a rheumatologist.  After each appt I was left disappointed and upset. I felt that my concerns were not being addressed. The wait time for appts can be lengthy aswell. 	 8/4/11	3	2	1	Insurance:Unknown
43	1	Skilled Internist, Skilled in supporting diabetic patients. He was called in as an experienced consult for a very serious skin condition.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
43	-1	. this so called doctor,failed to provide the proper care for diabetes ,which resulted in blindness,as well as relapse of polio in one patient! beware!!! 	1	1	1	1 	Insurance:Medicare
44	1	Doctor Melvin Mann is so good, my insurance would not cover my family going to him anymore, they suggested another eye doc. who our insurance covers.  i still go to him and pay out of my pocket..   enuff said!!!!!!   PROFESSIONAL!!!   KNOWLEDGEABLE!!!!!!!!!   AND MOST IMPORTANTLY HE CARES!!!!!! 	5	5	5	5 	Insurance:Unknown
