dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Brian is amazing. Great professional. Excellent repair on my 2 front teeth after I seriously damaged them in fall. 	4	4	5	5 	Insurance:Unknown
2	-1	The 1st time I saw him he blew all of my symptoms off all because he said I was to young to have related problems. Then he asked me what I thought was wrong&#63; Well if I knew the answer to that why would I be in the ER!&#63;!&#63; So he ran some tests just to pacify me and told me he didn't find anything so I must be fine. I ended up back the next night and then the attitude came out. &quot;I told you yesterday that nothing was wrong, I ruled out the bad stuff so why are you back&#63;&quot; Really&#63;&#63; I finally told him I was going home and would go to a different Dr so he leaves. 2 mins later he comes back and says I would feel better if we ran 1 more blood test before you leave, it'll only take half an hr. So we waited another hr and a half before he came back in w/ his attitude and sent me home still having no idea what was or is wrong! What a unprofessional jerk! 	4	2	1	1 	Insurance:Unknown
2	-1	Took my wife into the ER because she had classic heart attack symptoms. Was disinterested and brushed it off. Left Sided chest pain, radiating to the back, shoulder, and left arm all the way down to the fingers. Self medicated with a spray of nitro before visit and it took all the pain away. Went back, and he was less interested, and brushed off any sort of cardiac issue due to HER AGE. And then when I got upset with him he got up on his high doctor pedestal and went on a rant. Wouldn't do anything to put our minds at ease, wouldn't listen to anything either my wife or I said (we are both in EMS and pre hospital patient care, and my wife has worked in several ER's) Dr. Foster is VERY unKnowledgeable, very poor bedside manor, very poor patient skills and exceptionally poor listening skills.  Will tell you he is right or he flat out doesn't know, and that you need to see another doctor. Not helpful at all at aleviating any sort of worry. 	3	1	1	1 	Insurance:Unknown
2	-1	Poor bed-side manner. Seemed disinterested and hurried, as though I was not worth his time. According to him the only treatment options I had were to have a C/T scan or go home and if I didn't feel better to follow up with another doctor. &#63;&#63; He only looked into one symptom and when asked about other symptoms simply said &quot;we didn't test for that.&quot; At one point he actually asked me what I thought was wrong. Well, if I knew that I wouldn't have gone to Urgent Care would I&#63; Overall, he was disinterested, un-knowledgeable, and I wouldn't say rude, but certainly not caring. 	3	2	1	1 	Insurance:Unknown
3	-1	The absolute worst dentist I have ever seen in my entire life.  He put my five year old son through agony and then refused to treat him that evening when the pain was unbearable.  I had to take him to emergency room.  Turns out he cut into a nerve in my sons mouth.  An absolute nightmare and I think he is crooked ...Stay away from this guy.  I do not even think he is a legitimate dentist. 	1	1	1	1 	Insurance:Unknown
3	1	Our two sons went to him. Both had excellent care. Staff very friendly and helpful. Dr. Ferraro always answered any questions; and he even called me personally to discuss suggested care with another specialist.  	5	5	5	5 	Insurance:Humana
3	-1	This dentist insists that he can do every dental service. He professes to be knowledgeable in all dental areas. He does not admit when he is not able to do an appropriate job. He does not refer to other specialist when he should. 	4	2	1	1 	Insurance:Unknown
4	1	I have been seeing Jeff for 4 years. He is a fabulous Psychologist. Nonjudgmental, insightful, kind, and caring. He is the fourth psychologist I saw and I intend that he will be the last.  	5	5	5	5 	Insurance:United Healthcare
5	-1	Was awful. After going to see a real chiropractor I was so mortified that I had wasted my time with Dr. F in Kenosha.  Her tools and &quot;Therapy&quot; remind me of kids toys and had no affect on my Pain.  	3	3	1	1 	Insurance:Aetna
6	1	Dr. Fenske has been my doctor for 15+ years.  She has always been attentive and up to date with my extremely complicated medical history.  She saw me through fibroid complications which interfered with me becoming pregnant.  Thanks to her I have two beautiful and healthy children.  To the not so satifised patient (06/2010), Dr. Fenske was battling cancer throughout 2010 so I highly doubt that she was actually taking vacations during your pregnancy.  It is because of her medical battles that she has since retired.  The OB/GYN practice has lost a great gift.  	4	4	5	5 	Insurance:United Healthcare
6	0	Office staff is often preoccupied and flighty might be a good word. Forgot to mail me important documents 3 separate times at the beginning of my pregnancy and failed to obtain the records needed. In addition, Dr. Fenske has taken 3 vacations during the 28 weeks of my pregnancy causing some scheduling conflicts and I am fairly certain she forgets who I am with every visit. We often have to talk about things we talked about previously as she reads through my records as though she's unfamiliar with my pregnancy. That's pretty scary considering my previous pregnancy and delivery had several complications. She was recommended to me by United Healthcare (based on zip code, I believe), and I wish I would've changed doctors right away. Now I have found it difficult to secure a new doctor who is okay with how far along I am. I don't know if she's always really busy or just distracted, but for a pregnancy the level of care should really be much higher.  	2	3	2	3 	Insurance:United Healthcare
7	-1	does not listen - is not not respectful or helpful to patient 	3	1	1	1 	Insurance:Unknown
