dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
11	1	 I saw him to get a lesions removed. He was skilled, but I didn't like his staff at all. They were dismissive and insisted on doing paperwork for BC/BS PPO. I paid up front. I had a referral letter and that made it tricky. (I would have done it myself, but they wouldn't let me). They did it WRONG and then wouldn't correct it. I called and it took weeks to get a response phone call. Lots of running around on my part and stonewalling on theirs. I'm still fighting with BC/BS. Lots of time spent on this. I might go to this doctor again under different circumstances.  		4	3	4	Insurance:Blue Cross / Blue Shield
11	1	commentsDr. Isenberg was WONDERFUL, he made me feel completely comfortable, answered all my questions and was extremely knowledgable. 		4	5	5	Insurance:Unknown
19	1	commentsShe is a wonderful Dr.  She listens to you, which is rare today.  I would roecommend her to anyone. 	4	4	5	5	Insurance:Unknown
19	1	commentsVery knowledgable. Excellent doctor-patient relationship. Leaves us with a satisfied feeling. Does not give the feeling of &quot;hurry-hurry-hurry.&quot; 		5	5	5	Insurance:Unknown
33	1	commentsDr. Illgen is an incredible physician and an amazing person. I would recommend him to anyone who needs hip and knee replacements. 	5	5	5	5	Insurance:Unknown
35	1	 I have found Doctor Idarraga to be an extremely good doctor. He bedside manner was very personable and friendly. He always takes time to listen to all my concerns and answers every question. He comes across as somewhat serious. He is very concerned with all of his patients and their wellbeing.  	5	4	5	5	Insurance:Anthem
35	1	commentsDr I darraga has been my Dr for 14 years. The reason I continued to see him from the first time we met was because of his wonderful bedisde manner. He has never been anything but kind and gentle mannered. He takes the time to talk with you and discusses appropriate treatments. He does occassionaly run behind, but that is because he is always putting the patients first. His nurses are nice and will alway call with prompt test results, and if you have questions, they get right back too you. He has helped me through several serious illnesses, and continues to see what is the proper and updated ways to address medicals needs. But even before I was sick, he was still the gentle and caring Doctor that I was looking for as a Young adult, and know that I'm older he continues to meet my needs. 	5	5	5	5	Insurance:Unknown
35	1	 Dr Idarraga has been my primary physician for almost 15 years.  He always takes extra time to listen to my concerns and is always able to put me at ease.  He has excellent interpersonal skills and always follows up with me if any lab work is ordered.  I am very pleased to have him as my primary care physician and now he is my son's doctor too.  	4	5	5	5	Insurance:United Healthcare
35	-1	 Dr Idarraga is very cold and does not try to get to know you as a person. He is very factual and is very inattentive to the emotional side of things. He does not have a personality. He is the team physician for the local pro basketball team, and he does not attend to the needs of women.  	3	3	1	2	Insurance:Humana
35	1	commentsIve been with Dr. Idarraga for almost ten years a s patient and Im very please with the treatment I have gotten. 		5	5	5	Insurance:Unknown
39	1	 Good doc and she likes what she does.  Also has a sense on humor! 	5	5	5	5	Insurance:United Healthcare
39	1	 I have followed Dr. Irland for 18 years, 4 offices, through 4 pregnancies, and for various other medical concerns. She has a new office with Columbia in Wauwatosa, and I am still loyally with her. She is simply the best. What a kind compassionate doctor! She's smart, progressive, and has a lot of common sense too. My husband likes how she is so good with the dads, and really wants the pregnancy to be positive for the couple. Two of my pregnancies were difficult, but I always felt I had the best of care, and could ask anything because she would take the time with me.  She will go to bat for her patients, and give it to you straight, but with tact.  	5	5	5	5	Insurance:United Healthcare
39	1	 I have know Dr. Irland since she was a resident. It is so great to know that she hasn't lost that human aspect of medicine. I first saw her when I was 17yrs.old and I am now 38yrs.old. I haven't found another physician that can measure up to Dr. Irland. I would highly recommend her to anyone that is looking for a well educated, modern yet caring and compassionate OB/Gyn. I only wish I lived closer to Dr. Irland, so she could still be my physician. .  	4	4	5	5	Insurance:Blue Cross / Blue Shield
39	1	 Dr Irland is the best...She was very helpful and extremely patient with her clients.  I had given birth before in San Francisco, the doctor out there was also great--But Jacqueline was superior!!!She does tend to be late for her appts because she really takes the time to talk and discuss with her clients---so it is a catch 22.  	5	3	5	5	Insurance:United Healthcare
