dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Jensen is such a nice man, with such an unassuming, friendly bedside manner and lovely rapport with children it's easy to forget he's a brilliant surgeon.  He operated on my daughter's very disfiguring hemangioma on her face, redoing an entire lip.  His work is extraordinary, and he gave my little girl back her pretty little face that was hidden by the ugly growth.  	5	5	5	5 	Insurance:United Healthcare
2	1	I absolutely loved her and I hate dentists.  Would rather have a baby(I'm 55). She is sweet and kind.  Works fast and puts her patient's welfare first. She understands the financial burdens and always lays out all the options for you so you can decide what is best and what correlate that with what you can afford but she is never pushy.  I truly miss her since she changed clinics.  	4	5	5	5 	Insurance:Delta Dental
3	1	I've been going to Dr. Johnson's for at least 15 years. Whether I see him or another doctor in the office I've always been very satisfied with the care I've received at Elmbrook Internal Medicine.  	5	5	5	5 	Insurance:Humana
3	1	He has been my doctor for 17 years with outstanding service.  	5	5	5	5 	Insurance:Medicare
4	1	what a wonderful, caring, knowledgeable physician i have ever had the chance to meet! He may not always be on time but he sure is worth the wait because he gives his patients his full attention and really listens to what they have to say.  I have nothing but praise for this wonderful human being! 		2	5	5 	Insurance:CIGNA
5	-1	He is very arrogant, and drinks alot.  He acts like is better then others and interupts, nurse cannot even stand him. He is old and needs to retire.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Johnson is very knowledgable and genuinely concerned with the patients health. He is very good with patients. I have seen him for years and he is one of the best doctors I have visited. 	5	5	5	5 	Insurance:Unknown
6	1	She is a wonderful dr. She produced amazing results with my child.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
6	1	 	4	4	5	5 	Insurance:Unknown
7	1	Dr. Johnson is great!  Very knowledgable, thoughtful, and motivated.  If he does not personally know the medical problem you are facing he will investigate, probe and correspond with other doctors until he gets to the root of the matter.  I highly recommend him.   His staff is great, the nurses and nurse practitioners treat you as a person not a number! 	5	5	5	5 	Insurance:Anthem
7	1	A great doctor who knew what he was talking about and came in promptly. Not much waiting. Good answers to questions without hesitation. Well aware and knowledgable of what he does. 	5	5	5	5 	Insurance:Unknown
7	-1	 	1	1	1	1 	Insurance:Unknown
8	-1	His ad says he helps people who have severe pain. Horrible waste of time and money,rude,arrogant. 	3	5	1	1 	Insurance:Unknown
8	1	. Excellent care 	5	5	5	5 	Insurance:Humana
9	-1	Wow.  I am NOT impressed with Dr. Jamison.  She has a real attitude problem and she is not very helpful.  She appears to be totally uninterested in finding a solution or trying anything different then the first thing or two she suggests (if you have a problem with anything she suggests then it's just over between you and her - she is done with you and tells you that you just have to live with it).  Wow.  	1	1	1	1 	Insurance:Anthem
9	-1	She has been late for every appointment I have made, makes me wait (one time for several hours).  She does not appear to want to consider any other options that the patient brings to her.  She offers no solutions, only theories and sends you on your merry way.  Her staff is worthless other then to schedule an appointment.  They will do NOTHING without the doctors authorization, but they also keep saying that she is too busy to talk with anyone.  I've had to call about my lab work, they do not call me unless I call first.  Then they offer no real solutions and I continue to suffer.  I guess I am just not a priority.  This is frustrating.  	1	1	1	3 	Insurance:Anthem
10	1	Dr. Scott Johnson has been my son's pediatrician for the past 4+ years. My son is now 18 years old, thus the necessity to find an 'adult' doctor for him (unfortunately, as Dr. Johnson is a pediatrician and does not treat adults). I have nothing but EXCELLENT things to state about Dr. Johnson. He has always been caring, knowledgeable, compassionate, and truly L-I-S-T-E-N-S to his patients. He talks 'with you' not 'at you'. Any concerns or questions you may have, he will stop and explain everything to you. He has never been condescending, arrogant, nor egotistical. His first order of business is his patient and their well-being. He is courteous, has an excellent bedside manner, funny, and very intuitive to his patients needs, well-being, and course of treatment. While others have stated &quot;you're just the mom&quot; - Dr. Johnson states &quot;you are the mom and you know more about your child than anyone.&quot; (Thank you, Dr.  Johnson, for all you do for ALL the children you treat!) HIGHLY RECOMMEND!! 	3	5	5	5 	Insurance:United Healthcare
10	1	Dr. Johnson has been our pediatrician for the last 4 1/2 years. He is very gentle and relaxed with my kids.  He always makes sure my questions are answered, and he is very reassuring and understanding.  I would definitely recommend Dr. Johnson to others.  	5	4	5	5 	Insurance:United Healthcare
11	1	She was very generous meeting with my family and was available &quot;after hours&quot; to talk to my siblings. 	1	1	5	5 	Insurance:Unknown
12	1	Dr. Janik is an extremely knowledgeable, caring, capable doctor.  She treated my advanced endometriosis and returned me to a quality of life I thought I had lost.  Other doctors, who were not specialists in this area, told me I would have to live with my pain and other symptoms.  Dr. Janik was informative, thorough, and patient.  She is also very up-to-date in treatment options and competency. 	4	5	5	5 	Insurance:Unknown
12	1	We started seeing Dr Janik after being told multiple times that IVF was our only hope. We too waited a little while to see her and YES she is very to the point, no sugar coating anything. I actually liked this about her as we had a plan of action written down within 20 minutes and future appt scheduled shortly after. We were so happy to have been able to conceive at VERY little cost and now have a happy,healthy little boy! Dr.  Janik may not have the greatest bedside manner but if you keep your eye on the goal, she is definitely the one to get you there! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
12	1	We started seeing Dr. Janik earlier this year for our infertility issues/IVF.  At our first appt, she kept us waiting for about an hour for our first consult. She wasn't exactly warm &amp; friendly at first, but she warmed up after about 20-30 minutes.  She seemed very burned out/exhausted, but at the same time, very knowledgeable.  Her staff is great, with the exception of one of the front desk women who is very cold and is constantly making mistakes (such as forgetting to schedule certain appts for various tests/bloodwork).  The nurse practitioner is also pretty cold. You would think since they are dealing with couples who are experiencing infertility that they would show a bit more compassion.  The rest of the staff is EXCELLENT, which is why I continue to see Dr. Janik, along with Dr. Janik's knowledge &amp; success with IVF.  It would also be nice if they would update their website to show more current success ratios.  We are still in the early stages of our treatment.  	4	1	4	5 	Insurance:Blue Cross / Blue Shield
12	1	Wow!  She is pretty rude to say the least.  I think she is burnt out and seems rushed.  At least pretend to care about the fact we want a baby. 	3	1	3	4 	Insurance:Unknown
12	1	Dr. Janik did not rush me at all.  I did wait an hour to see her, but it was worth it.  Her nurse practitioner and all staff members are very sweet.  I am a new patient so I don't know what the outcome will be, but so far I am having a good experience.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
12	1	I found Dr. Janik to be the best in her field.  She is skilled, knowledgeable and pragmatic.  I saw another fertility MD in the Milwaukee area who advised my husband and I to immediately do in vitro (after we had already had a baby accidentally on our honeymoon!)  Janik considered several issues that the other doctor saw as irrelevant.  She solved our problem with minimal financial outlay and lost time.  She has at times kept me (us) waiting for quite some time but in the end I feel she resolved our issue with a strategic, pragmatic approach.  Lastly, I found her beside manner to be warm and compassionate; if she was ever rushed or condescending it was lost on me. 	5	3	5	5 	Insurance:Unknown
12	1	Dr. Janik and her staff were very knowledgeable and helpful.  She was the fourth infertility Dr. that we consulted and she was by far the best.  She was able to look beyond the basics and see what the others could not.  She was very caring and truly passionate about her work.   I would highly recommend! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
12	-1	Dr. Janik lacks the bedside manner needed to treat couples facing infertility. She is abrupt, condescending, and at times down right rude. Her specialty appears to be laparoscopic surgery and once she has exhausted all surgical options, she essential gives up on the patient. Since leaving Dr. Janik's care, I have subsequently received care from compassionate, highly trained and extremely specialized fertility specialist who were able to diagnose a problem Dr. Janik never even considered. 	1	1	2	1 	Insurance:Unknown
12	-1	 	4	4	2	1 	Insurance:Unknown
13	1	Excellent Doc. Performed lap assisted hyst and was awesome.  	5	5	5	5 	Insurance:Humana
14	1	 	5	5	5	5 	Insurance:Unknown
15	1	I actually have a pleasant experience when I go to him.  He doesn't sugarcoat his diagnosis.  He tells you how it is and what needs to be done to correct the issue.  If he doesn't have the expertiese he will refer you to someone. 	5	5	5	5 	Insurance:Unknown
15	-1	My daughter went to his urgent care after being treated for a bladder infection them having bad back pains. NO tests given, told her her back hurt because she was pregnant. Two days later she was in ER and was admitted for severe kidney infection. Had high fever which put baby at risk. He was told she was prone to kidney infections also! On the other hand he is very pleasant. But have been told by his own staff that HE DOESN'T LISTEN!! 	4	3	1	1 	Insurance:Unknown
15	-1	I went to him with severe pain in my foot.  I told him I had an infection.   He looked at it and said it was not an infection.  He gave me pain pills and sent me home.  Within 48 hours of that visit I was in the hospital with cellulitis.   I wouldn't trust his diagnosis of anything.  	4	3	1	1 	Insurance:Blue Cross / Blue Shield
15	-1	This doctor was terrible in treating me at the urgent care where he works. I had bladder infection, he gave me a prescription for antibotics and told me when I felt better I could stop taking the medicine I couldn't believe he said that because everyone knows that anitbotics need to be taken until gone, I asked him why he would tell me this and he just laughed. I was not impressed with him at all and will NOT be seeing him again.  	1	3	1	1 	Insurance:Humana
16	-1	I saw Dr. Johnson because my dr at the same clinic was out for a few days.  I was quite ill with what was diagnosed as bronchitis.  I waited over 1/2 just to see the doctor. Even tho she couldn't hear any sign of pneumonia, she sent me for a chest x-ray.  An hour and a half into my appointment I finally was sent home, totally weak and miserable.  On the way out she asked &quot;are you alright&quot;. Obviously not.  I became more ill from the z-pack she prescribed.  When my regular doctor returned, I was correctly diagnosed with the influenza virus and treated quickly with a course of prednisone.  I will not go back to see Dr. Johnson and would not recommend her to anyone. 	4	1	2	2 	Insurance:Unknown
16	1	This is the doctor I've wanted to find for years. She listens.  She considers carefully. It's like she has a sixth sense for all of my symptoms (chronic diseases) and how they affect my daily life before I even voice them. She seems to have a broad and deep experience with medicine - enough to even surpass a few specialists I'd tried prior to seeing her. I could not put together a better physician than this - she's just fantastic. She also considers carefully my needs when she's working up a treatment plan with me - she doesn't simply TELL you one solution, she talks it over with you and makes sure the solution will work for you. This doc REALLY cares about people. Her nurse is really good, too. All the staff are pleasant. They get me in quickly and never make me wait. They call back promptly, too.  Oh - and she's well versed on what stress can do to a person's health.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
17	1	excellent, took time to answer my questions and releave my anxiety about anesthesia. 	5	5	5	5 	Insurance:Unknown
18	1	Dr. Jamil was terrific!  I had seen two other doctors over the years for my chronic pain and neither came close to showing the compassion and care that Dr. Jamil did.  He tried several different solutions for my pain and finally got me on a regimen that allows me to live my life.  He was easy to talk to and was very approachable.  On one occasion I had to have him paged on a Sunday.  He called me almost immediately and was very helpful with my urgent issue.  Now that he has left NSG, I will miss him a great deal!  I will always appreciate the thorough and compassionate treatment he provided.  Thanks, Dr.  Jamil!! :-) 	3	5	5	5 	Insurance:United Healthcare
18	1	I was extremely pleased with Dr. Jamil.  He has allowed me to be back and hip pain free for a year now.  I would recommend him to everyone!!!  Thanks so much Dr.  Jamil! 	5	5	5	5 	Insurance:Aetna
18	-1	Stay away!!! I received a wrong diagnosis and when I questioned him he told me he didn't care if I was treated or not.  When I asked questions he said he didn't know to every one of them.  In the end he wanted to treat me for something I didn't even have just to see if it would work.  He made it quite clear that he didn't care about my health. From his unkept appearance, I could tell he didn't care much about himself either.  	2	2	1	1 	Insurance:Blue Cross / Blue Shield
19	1	I've been seeing Dr. Jensen for close to 10 years now.  I've never had a dentist or dental staff that performs such a thorough and excellent examination.  	5	5	5	5 	Insurance:Delta Dental
20	-1	This guy should retire.  No clue what he is doing.  He would have let me die.  Had to take matters into my own hands. 	2	1	1	1 	Insurance:Unknown
21	0	Recommended reading glasses for my child.  Second-opinion by pediatric ophthalmologist revealed this child had perfect vision.  Other parents have told me their eye dr. sees their young child every 6 months.  He only wanted to see my (other) young son once/year and he had a very strong Rx.  When this child's eye started turning in, Dr Josephs brushed it off as this happens sometimes.  He finally acknowledged at the next yearly exam that it was out of his league and we got the needed referral.  He's very nice and the kids liked him but we won't go back or recommend him. One last note, my husband w/ no experience can adjust eyeglasses better than the optician in Dr. Joseph's office.  The child's eyeglass package is a great deal, but service is lacking.  We get great service and product at Shopko Optical (glasses only.) 	4	4	4	2 	Insurance:Unknown
22	1	My insurance was not an option to choose; however, I used insurance.  Dr. Johnson and his staff are so professional yet personable and courteous.  We tried two other dentist when we moved here and I'm so thankful we finally found the right one!  We are very happy with his office. 	5	5	5	5 	Insurance:Unknown
22	1	I've been to Dr. Johnson twice now, once for an x-ray and the other for a root canal. He was very generous giving me free x-rays and doing a root canal for only $1000, which is very cheap! He was cautious not to cause pain and did it in a timely fashion. I recommend Dr. Johnson any day. 	5	5	5	5 	Insurance:Unknown
22	1	I have been treated by Dr. Johnson for several years now.  He is very helpful with teaching you about your dental needs.  Very kind and caring dentist. 	5	4	5	5 	Insurance:Unknown
22	1	Very kind doctor and also very knowledgable.  Took his time to make my visit very comfortable.  Professional and courteous staff.  I will be going here for life. 	5	5	5	5 	Insurance:Unknown
23	1	Missed a payment at Christmas and was turned over to collection agency without warning. 	1	2	3	4 	Insurance:Unknown
24	1	This doctor is the most amazing physician I could ever have imagined having.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
24	-1	.  	4	4	1	1 	Insurance:United Healthcare
24	1	He is somewhat quiet but it's just because he is so thourough. His NPs and nurses ake the most amazing care of you and answer any questions you may have. I've seen other docs in his practice and they have all told me how lucky I am to have him as a doctor. Even my pediatrician see him. After a complicated pregnancy and delivery a nurse at the hospital told me if I would have had any other doctor I probably wouldn't have my son. As a matter of fact I'm at the end of another complicated pregnancy and I will be seeing him tomorrow for an amnio and as scared as I am, I trust him fully. I can't say enough about how intelligent this man is.  	5	4	5	5 	Insurance:Anthem
24	-1	He was very short with me and did not take the time to explain anything.  His nurse was the one that had to explain the findings of the ultrasound, he actually told the nurse I had to get dressed and out of the room so he could see his next patient.  During the ultrasound he did not explain what he was looking at or what he was measuring, I was more concerned and confused after seeing him then prior to going to my appointment.  	5	3	1	1 	Insurance:United Healthcare
24	1	He helped deliver two of my babies, and I trust him and his staff (esp. his two nurse practitioners) with  our lives. He is a high risk OBGYN, and truely cares about his patients and their babies. When you walk in they not only know their patients by their names, but also their history.  They are like an extended family:) 	5	4	5	5 	Insurance:Medicaid / Medi-Cal
25	1	Dr. Jaradeh is a very caring and compassionate doctor.  When no one else could help with my daughter's CIDP, Dr. Jaradeh came up with solutions.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
25	-1	kept going in and out during office visit.   Seemed more self-involved than patient oriented 	4	1	2	2 	Insurance:United Healthcare
26	1	Dr. Johnson is an outstanding doctor!! 	5	5	5	5 	Insurance:Unknown
27	1	dr mark is a wonderful dr with a great personality.i like him very much,he's a good dr.my mother who has seen him for 4 years loves her and he really likes her,great job dr mark.ty dr mark is a caring special dr.  	4	4	3	5 	Insurance:United Healthcare
27	0	always too rushed. Missed symptoms of major health problem fro 2 yrs.  	5	4	3	3 	Insurance:Blue Cross / Blue Shield
27	1	An outstanding, candid and compassionate care giver. He's been my doctor for over 10 years, he not only treats the body but also treats the mind with straight answers and humor and he listens! I trust him with my health and more importantly the health of my family, I wouldn't want to be treated by anyone else. 		5	5	5 	Insurance:Unknown
28	-1	Was very rude and did not follow a standard of care. Told me to run along after a very short visit. I am currently on Chemo-therapy and was treated terrible.  	2	2	1	2 	Insurance:United Healthcare
