dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 I wish all doctors were like him. He treated me well and my problem is gone.  	5	5	5	5	Insurance:Medicare
1	1	commentsExplained things well, seemed to know what he was talking about and helped my problem. 	5	5	5	5	Insurance:Unknown
1	1	commentswas knowlegeable, explained things, was on time and helped a lot. Paid/Co-pay:$59	5	5	5	5	Insurance:Unknown
4	1	commentsone of the best doctors around 		5	4	5	Insurance:Unknown
8	-1	commentshe would rather keep married people together rather than  apart now that he, the husband, and/or the wife should know better; maybe it's a Catholic thing on his part 	3	1	1	1	Insurance:Unknown
13	1	 Dr Kaldas is amazing.  He has been with me through two high risk pregancies and I have always felt comfortable and at ease.  He definitely puts the patient first and never rushes us out of the office.  I feel so fortunate to have found him at my OB.   Thank you!!! 	5	5	5	5	Insurance:United Healthcare
13	1	 Can't say enough good, this guy is amazing, talented, extremely competent, and VERY kind.  Thank you, Dr Kaldas! 	5	5	5	5	Insurance:United Healthcare
13	1	commentsExcellent doctor!  I have neeeded to have several surgeries and Dr. Kaldas has given me excellent care - I trust him for the best care! 	4	4	5	5	Insurance:Unknown
13	1	 WONDERFUL!!! I was recomended him with my first pregnancy and i am so happy i went with that recomendation. I will stay with him for all of my yearly appointments and use him with my next pregnancy.  i cannot say enough good things about him!!!! A++ 	5	5	5	5	Insurance:Aetna
13	1	 I went to Dr Kaldas and had a etopic pregnany that ruptrued and he was very helpful..He helped me alot with my pcos and endro.Now that my ins changed I can't go to him any more.The OB I have now isn't as good or helpful as he was. I have had numerous surgies and repairs on my uterus and the pain I have is terrible. I feel if I was still with him things would be much better.. I miss him.. He is the best OB in the area. I would highly refer any female to him..  	5	5	5	5	Insurance:United Healthcare
13	1	commentsI have been going to Dr. Kaldas for seven years. Because of him I lead a pain free life thanks to a hysterectomy and lasering of all endometriosis. Best Doc around. Great with Thyroid problems too. 	5	4	5	5	Insurance:Unknown
13	1	commentsgreat knowledge base, wonderful bedside manner! Great listener and calming demeaner. 	4	4	5	5	Insurance:Unknown
13	1	commentsI have been through two high risk pregnancies with Dr. Kaldas, laser surgery, and many other issues requiring follow up visits/procedures. He is the best! I trust him with my health without a doubt. He takes his time and exudes confidence with all of his decisions and diagnosis. An all around fantastic individual. 	5	5	5	5	Insurance:Unknown
