dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Lenz has been my son's doc since he was born. He is a very nice man, but boy does he talk! His staff of nurses are good, but the receptionists are very rude. It is always a super long wait, so give yourself extra time. After waiting forever, he comes in and talks for sometimes up to 40 minutes. It sounds good but it can get a little annoying. Overall, he's a good doctor. 	3	1	3	4 	Insurance:Unknown
1	1	Dr. Lenz is an incredible doctor.  He is very knowledgable and passionate about certain issues and ADHD is one along with smoking, weight, etc.  Dr. Lenz after long testing helped me when I did not know I had ADHD.  The fast locomotive in my head I thought was normal, but now I can concentrate and focus on one task at a time.  He also has helped me quit smoking and become non-insulin dependent as a diabetic and am forever grateful.  My son also has ADHD which is hereditary and now going into the third grade is just starting to write stories and understand what he is reading and focus thanks to Dr. Lenz.  He is so caring of my husband after a work injury and continues to help him work through continuous problems.  Everybody has an off day I know, but I must admit if Dr. Lenz has an off day I have yet to see it and would recommend him to absolutely ANYONE I know, ANYTIME.  Thank you very much for your hard work and patience Dr. Lenz (if you ever get a chance to read this).  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
1	1	I am a registered nurse, and am very picky about my health care providers. I do not see physicians unless they are up to date on current research and trends. I want someone who treats me with respect and care, and includes me in directing my care. I have found Dr. Lenz to be the best primary care physician I have ever had. He always takes as much time as I need in the office, and spends a lot of time getting to know me and my concerns. I always leave his office very appreciative of his help. I have never had a physician who has taken so much time to address my concerns. Due to family health issues and my job, I know many physicians. I highly recommend Dr. Lenz without reservation!! 	5	5	5	5 	Insurance:CIGNA
1	1	Dr. Lenz is very so-so. I am a young woman and he made me feel uncomfortable during my visit. He seems to know quite a bit, yet isn't very personable.  	3	3	3	4 	Insurance:Aetna
1	-1	HORRIBLE HORRIBLE HORRIBLE!!! I went with my fiance to have a routine checkup (he went, not me)  and to have him look at some strange bone growths he was experiences. I kid you not, while feeling his ribcage (where the bulk of the bone growth is) he asked, &quot;Soo, did you have trouble concentrating in school&#63;&#63;&quot; &quot;What&#63;!&#63;!&quot; He kept pushing, and pushing, and pushing, that my 20 year old fiance has ADHD and MUST have Adderall. He even called his mother to pressure her that he did in fact have this &quot;problem&quot;. It was ridiculous!!! No was not an answer with this man. The thing that sealed the deal was when he addressed me as &quot;girl in the corner&quot; (excuse me&#63;!&#63;!) and then insinuating I tricked my fiance into getting me pregnant. Yeah....horrible, horrible doctor. I would never recommend him to a single soul. Unless of course they want Adderall when they have weird bone issues.  Sounds so ridiculous reading this through again, but it's the complete truth, unfortunately. 	2	2	1	1 	Insurance:Unknown
2	0	Max Lee feels he is god's gift to the world.  He will tell you himself that he is the best.  He has NO bedside manner and certainly no time for your questions and concerns. 	3	3	1	5 	Insurance:Unknown
3	-1	Dr. Larson is not a very thourough doctor. I went in to see her complaining of a sore thoat. She did not even give me a throat culture. I then went spent money out of pocket and went to the ER and was diagnosed with Strep Throat. She also made rude remarks about me while in her office when she was a Urgent Care doctor at Affinity. Please our community does not need doctors like Dr. Larson. There is NO ROOM FOR MISTAKES in the Medical Profession. I know why she left Affinity and went to Aroura, she was the worst doctor I have ever seen. Shame on you, Dr. Alyson Larson!!! 	1	5	1	1 	Insurance:Unknown
3	1	I have been seeing Dr. Larson for over a year.  She and her staff are outstanding in every way, including punctuality, kindness, and overall patient care.  From the first minute I walked in, and the receptionist Michelle stood up and shook my hand and introduced herself, I knew I had the right doctor.  I can't say enough wonderful things about this highly professional office.  As a side note, there is an office from this same health network 2 blocks from my house, and I drive 20 minutes to see Dr. Larson.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	.  	1	1	1	1 	Insurance:CIGNA
5	1	Very helpful. As a transsexual it was important to find a doctor that was both knowledgeable about the processes involved, and willing to work with me, and Dr. Leigh is both. She's was helpful to the point of being enthusiastic about helping to meet my care needs, which is rare for this condition in the Midwest. At first I wasn't certain I would leave a comment because the rarity of my condition is potentially identifying, but in case there are others out there, it's important that they know Dr. Leigh is NOT the sort of doctor you hear gatekeeper horror stories about.  	5	5	5	5 	Insurance:United Healthcare
6	1	I found Dr. Levin to be very knowledgeable about my condition. His bedside manner was excellent and he was very good in discussing the various options to take. I'm glad that I found him rather than having a general surgeon for my situation. Great guy! Glad he is in Madison 	4	4	5	5 	Insurance:Unknown
6	-1	 	4	2	1	2 	Insurance:Unknown
7	1	I'm seeing this doctor for pre-natal care and she's awesome.  Very understanding, very helpful, and I'm always able to reach her via email -- and get answers quickly!  She's also our family doctor and she's great with kids.  I highly recommend her.  	5	5	5	5 	Insurance:HealthPartners
8	1	Very knowledgable and personable. Would recommend to a friend! 	5	5	5	5 	Insurance:Unknown
8	1	Feeling much better. Discussed why adjustment was needed and how we will proceed. 	5	4	5	5 	Insurance:Unknown
9	1	My husband and I have seen Dr. Lentfer for 4 years now and just love her.  She took cafre of me through my pregnancy and helped deliver my little boy via c-section.  Although we don't always agree on the childhood vaccination schedule, she respects that I am the parent, and ultimately, it is my decision.  She is caring, honest and we never feel like a number.  The clinic staff is great and she is wonderful.  I think she listens to our concerns and takes the time to discuss options.  Never has she ever pushed pills on us.  I would highly recommend her. 	5	5	5	5 	Insurance:Unknown
9	-1	Just does not listen. Think what she want to think and also a pill pusher. 	1	3	1	2 	Insurance:Unknown
9	0	 	4	2	2	4 	Insurance:Unknown
10	1	he helped me though everything that was going on in my ovary with all the cyst i was making. i was suffering with this for 4 years until he found out what he was wrong with me. I went to so many doctors for this and he was the only one that helped.  	5	5	5	5 	Insurance:Aetna
10	1	Dr. Lalich is very compasionate and very helpful.  He answers questions in plain english and he isn't condescending at all! He sat with me and answered all of my questions - he wasn't constantly looking for the door! 	5	5	5	5 	Insurance:United Healthcare
11	1	Excellent Doctor!  He takes his time and does a detailed job. 	5	5	5	5 	Insurance:Unknown
11	1	great doctor.   Takes his time to listen and is very knowledgeable 	5	5	5	5 	Insurance:United Healthcare
11	1	listens well and works well with children and teens 	4	4	5	4 	Insurance:Unknown
11	1	Dr Lemkuil is personable and responsive to patient concerns and questions. At first I was put off by a couple things that I had not encountered before, eg, using stethoscope through clothing (reduces sensitivity) but it is a contamination preventions step and is not done during periodic exams. HE appears to have a  good knowledge base and seems thorough. On an early visit he called with test results that were actually better than previous tests while he flagged the current results as concerning. Subsequent visits indicate thorough review of one's medical history at each visit. To what extent he stays current is difficult to ascertain unless one runs into a clear conflict with recent information they have discovered on their own but evidence so far indicates current knowledge. (I improved my previous rating; old rating deleted) 	 3/4/09	5	4	5	Insurance:Medicare
11	1	Dr. Lemkuil always presents me with my treatment options and includes me in the decision making. He doesn't always know what is wrong with me, but he admits it and offers the treatment he can. He is very personable and when I've been at my worst health-wise, he made me feel like things were under control and that we'd figure it out. I've recommended him to friends because of his friendly, caring manner. He's even called me at home on two occassions to touch base with my situation, which I've never encountered before with other doctors. 		5	4	4 	Insurance:Unknown
11	1	Daniel was our family Doctor for 3 years before we moved. We actually were very sad in leaving him as our Doctor.  He truly does care about our family which is more than I can say for most doctors today! 	 2/12/07		4	5	Insurance:United Healthcare
11	1	Excellent manner with the kids. He is very thorough.  		5	5	4 	Insurance:United Healthcare
12	-1	Did not help my migraine in any way in St. Mary's Emergency Room.  Very inflexible.  	3	3	1	2 	Insurance:Medicare
13	1	Great doctor.Very thorough.He was recommended by a local nurse and I have been very satisfied.  	5	5	5	5 	Insurance:CIGNA
13	1	Very helpful.  Took time to listen and explain everything 	5	5	5	5 	Insurance:Unknown
13	1	Took the time to talk with you and make you feel like you're heard.  Great with kids.  	4	5	5	5 	Insurance:United Healthcare
14	1	I have gone to this Dr. for years and received excellent treatment including a knee replacement and rotator cuff surgery. I recommend him, although he isn't warm and fuzzy -- just good and efficient. 	5	4	5	5 	Insurance:Unknown
14	-1	After reading other testimonies, I realize I am not the only one. Dr. Lemon made many false accusations in a report to my employer! As a result, I am receiving no worker's compensation, am not released to go back to work, and am worrying how I will pay my next bill. Please note that Dr. Lemon has never seen me nor talked to me.  	1	1	1	1 	Insurance:Workers Comp
14	-1	very condensending preoccupied, did not like that i had a opinion from a very well known specailist 	1	3	1	1 	Insurance:Unknown
14	-1	Dr Lemon's treatment was dismissive and wrong. He told me my knee pain was caused by osteoarthritis based on an x-ray, even tho I noted that the injury and pain started after a fall and felt very different than the regular minor arthritic pain I feel in both knees.  He balked at suggestion of an MRI to see if there was soft tissue damage.  Later, I finally got an MRI ordered by my pcp, and a different Orthopedic Surgeon confirmed a meniscal tear, a cartilage tear and a cyst that needed to be removed surgically. (The tears were small but also would be smoothed to avoid further damage since the surgery was necessary for the cyst anyway.) The cyst turned out to be the size of half a golf ball with a long tail that was growing around my knee.  The surgeon said had it not been removed, it would likely have kept growing and growing.  I am just so happy I finally got excellent treatment, had the problem confirmed and addressed effectively medically, had the surgery and am now on the mend! 	4	4	1	1 	Insurance:Unknown
14	-1	I experienced what many others have.  I received a PPD (perminant partial disability) rating of 5% from my Doctor.  The insurace carrier sent me to Dr. Lemon to dispute what my Dr. said.  He inaccurately claimed I had a pre-existing condition, stated I was fully recovered 1 year before I stopped treatment and therefore I had a 0% PPD rating.  Dr. Lemon is a disgrace to his profession and should not be allowed to practice.  	1	1	1	1 	Insurance:Workers Comp
14	-1	This doctor has a history of lying in his reports and claims that workers injuries are pre-existing so the insurance company gets out of paying benefits.  He sells his testimony, reports, and diagnoses.  He's a disgrace to the medical community and should have his license revoked.  	1	1	1	1 	Insurance:Workers Comp
15	-1	.  	1	3	1	1 	Insurance:United Healthcare
15	1	Dr. Tom was my childhood Dentist, and when possible, i always seek him out.  he keeps up with the state of the art, and never compromises the patients needs and attempts to accomidate them at all times.  He cares more about your teeth, he cared about the rest of you too.  	5	5	5	5 	Insurance:Tricare
15	-1	I do not recommend this dentist at all, his attitude is very cold and uncaring.  I was treated for TMJ and the &quot;treatment&quot; made the condition worse.  	1	4	1	1 	Insurance:Delta Dental
15	0	expensive and high, un necessary overhead, Lots of pain involved in procedure.  Would not recommend this place at all 	3	1	2	3 	Insurance:Unknown
15	-1	Whole office seems like they have major attitudes.Also didnt treat me for my problems i came with but tried to get my to fix something that wasnt bothering me for 2x the amount of money.  Hmmm possibly tring to fill their pockets&#63; 	1	3	1	1 	Insurance:Delta Dental
15	1	Dr LaSelle is very caring and compassionate. He makes sure you are not in pain and are comfortable. He offers sedation dentistry and it is great! Very good at answering any questions you have. Excellent staff.  	5	5	5	5 	Insurance:Delta Dental
16	1	I was a victim of a severe auto collision.  Dr. Lange was in charge of my case.  I had broken both arms, heals, neck, nose, orbital and had a calcaneus  reconstructure done by this Dr.  Dr. Lange was so wonderful and went the extra yards to help in all my discomfort.  I can't thank him enough.  	5	5	5	5 	Insurance:Workers Comp
16	1	Dr. Lange is great. He is very thorough. Does a great physical exam.  He always explains his reasoning so you understand what is going on and why he wants to take the course of action/treatment that he does.  He is very caring and respectful. 	4	4	5	5 	Insurance:Unknown
17	1	Excellent Dr- worth the wait -good idea to call ahead to find out if she is on schedule.   Again she is the best! 	5	3	5	5 	Insurance:United Healthcare
17	1	I've gone to Dr. Rebecca Lawrence for years and following every appointment I think, &quot;She is the most personal, informative and caring doctor I have ever had.&quot;  She gives such personal attention, you would think she was your closest friend.  Dr. Lawrence is thorough and she knows how to talk on your level.  If someone asks who I go to, I refer them to her.  She is the only physician I have ever felt strong enough about to refer to and I am 54.  It is hard to get appointments but I'll compromise if it means I get the best.  You will never feel like your appointment is rushed with Dr. Lawrence.  She is not only a superb doctor, she is genuinely nice person. 	4	3	5	5 	Insurance:Unknown
17	1	Dr Rebecca Lawrence is the BEST.  She's very thorough, caring and explains things.  She is such a caring doctor and will even call you at home to followup.  She's a very caring and sincere doctor.  I've had her for at least 15 years and she is SIMPLY THE BEST in her field.  I'd recommend her to any one. Her nurse, Georgia, is also very helpful.  The practice is very busy but Dr Lawrence takes the time with you.  No rush in and rush out.  She truly cares about her patients.  She's awesome and I thank God for her.  I hope to be her patient for another 15 years or more.  Thank you Dr Rebecca Lawrence=you are a wonderful ob/gyn and so caring.  	5	5	5	5 	Insurance:Humana
17	1	WONDERFUL WONDERFUL WONDERFUL!  I always felt at ease with Dr. Lawrence and she always had plenty of time to talk to me.  The birth of my daughter was great with her help and postpartum I had some complications and she was extremely helpful in getting me into her clinic ASAP to be seen and help me out.  	4	4	5	5 	Insurance:United Healthcare
17	1	Though her practice is booked solid, Dr. Lawrence will still take the time to be thorough and answer questions.  I would certainly recommend her to anyone else.  	4	4	5	5 	Insurance:United Healthcare
18	0	Very busy clinic. difficult to get appointment because the other doctor left this clinic and Dr. Lee has double the work load. Expect a two to three month wait for appointment. 	4	3	3	3 	Insurance:Unknown
19	1	She knows her stuff 	5	5	5	5 	Insurance:Unknown
20	1	 	5	5	5	5 	Insurance:Unknown
21	1	Very respectable :) 	5	5	5	5 	Insurance:Unknown
22	-1	My appointments were canceled constantly. He was always overbooked so that he didn't have time to see his patients. He says he specializes in high risk pregnancy but didn't recognize that my pregnancy was high risk. It wasn't until I went to another doctor specializing in this field that I found out that indeed I was high risk. In fact my daughter was born a month early despite my being on bedrest for over 2 months. In this particular practice you need a high degree of sensitivity and tact. I found his office to be extremely unhelpful and unfriendly. It is also my opinion that Dr. Larson is not as knowledgeable as I would like when it comes to something as important as my child. 		1	1	1 	Insurance:Unknown
23	1	She is a fantastic doctor.  She really listens and does not brush off a &quot;mom's gut feeling.&quot;  She is a mom too and understands that 6th sense that moms have when something is going on with their kids.  My kids have been seeing her for 7 years.  She  gets to know her patients.  She asks the kids how their sports and other activities are going not just how they are feeling.  She has a child with asthma so she is very knowledgeable on how to manage and treat it from both sides of the fence (a Dr. and a mom).  We love her!  I don't know if she is accepting new patients though.  I think her patients like her so much that they tend to stay with her. 	4	5	5	5 	Insurance:Unknown
