dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I liked Dr. Thompson. He did a very thorough exam and notates everything with some dental software program.  Very competent.  Very friendly.  But when I had my teeth cleaned, the hygienist left the office door wide open!  I felt like I was on display for every Tom Dick & Harry who strolled down the hallway.   I don't know why I didn't say something -- next time I will :) 	4	4	4	4 	Insurance:Delta Dental
2	-1	My son never cried at a doctor appointment (other than vaccinations) until I met Dr. Taylor.  I saw her for 3 appointments, starting when my son was about 18 months.  At his final appointment with him she pulled back his foreskin so hard that he was screaming in pain.  Ever since this episode he would barely let us wipe him at diaper changes.  I found her bedside manner to be lacking.  I also didn't appreciate the manner in which she talked to us as the parents.  I felt her to be somewhat condescending, and not in tune with the parents' wishes in their child's healthcare and raising.  I raised concerns several times over feeling like my son was getting vaccines that he'd already had, and felt railroaded into just accepting them.  Personally, I would never recommend her to someone else.  Her nurses were always friendly, though. 	4	4	1	1 	Insurance:Unknown
3	1	I've been going to Dr. Tipple for over 10 years. I've never had a negative experience, everyone is very nice and I feel I have a very healthy mouth due to their their watchful eye. Dr. Tipple checks in at every dental cleaning just to see how things are going and alert me to any upcoming issues.  	5	5	5	5 	Insurance:Delta Dental
3	1	Dr. Tipple is very personable, talkative, and I have had a much better experience with him than with my previous dentists.  His staff - front desk, hygenists - are first-rate too.  	5	5	5	5 	Insurance:Delta Dental
4	1	I have been a patient of Dr. Toonen's for  over 20 years and have always had excellent care from Dr. Toonen and his staff. The front desk goes out of their way to help me understand my insurance benefits and finding appointments which fit into my schedule.  The staff is friendly and makes me feel at ease. I feel they offer a great service at a competitive price. I actually don't mind going to the dentist.  Debbie Millies  Thanks sis  I appreciate it  Linda 	 2/11/11	5	5	5	Insurance:Unknown
4	1	I am so happy to have found Dr. Toonen and his office since I have had dental issues all my adult life going to the dentist is not my favorite thing to do.  The staff at Dr. Toonens office has made it enjoyable, they have always been helpful and patient with my concerns and fears.  The dental work I have been extremely happy with all the dental wark I have had done here.  I have been a patient for over 10 years and would not think of changing offices.  	 2/8/11	5	5	5	Insurance:United Healthcare
4	-1	Staff was unbelievable rude, and flat out lied about what I could expect from them.  I am sad that a place like this is out there.  My experience with this office has been the worst service experience I have had with any provider before. 	1	1	1	1 	Insurance:Unknown
5	1	he is very caring and a pleasure to be around. he actually trys to help figure out whats wrong. I have always felt 100% cared for there.  	4	5	5	4 	Insurance:Medicaid / Medi-Cal
6	1	Great doctor! Good listener, very nice, nonjudgmental, and extremely competent. Highly recommend. 	 10/6/11	5	5	5	Insurance:Unknown
6	1	Dr. Torgersen is fantastic! She is very nice, super helpful and understanding.  I had never been to this clinic before and choosing her for my Dr. was a great decision!!!  I will definitely be keeping her and having her as our family doctor! 	5	5	5	5 	Insurance:Unknown
7	1	Very helpful in helping me understand what is going on with my teeth and why I'm having the pain I have. I thought I needed root canels but was instructed I need a mouthgard for TMJ issues.  Staff was very friendly and helpful. Recommendations and treatment have helped these issues. 	5	5	5	5 	Insurance:Unknown
7	0	Wrong Diagnosis 	5	5	4	2 	Insurance:Unknown
8	1	Explained all options of care very well. Always willing to squeeze you in if medically needed. Wonderful bedside manners.  	4	4	5	5 	Insurance:Medicaid / Medi-Cal
8	-1	not very informative, doesn't seem knowledgable with brain injury issues, patient has to be well informed with meds and issues....  	4	4	2	1 	Insurance:Medicare
9	1	I think Dr. Thompson is the best!  He explains procedures.   His staff is awesome! 	5	5	5	5 	Insurance:Delta Dental
