dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	He's been my physician for as long as I can remember, and he's always been both friendly and knowledgeable.  He's always been able to help me with whatever I came in for and is very informative with his diagnoses. 	5	4	5	5 	Insurance:Unknown
1	1	Dr. Uy is a fantastic doctor. I've been going to him for quite a few years now, and he's been thorough, kind and knowledgeable in all of my dealings with him. He really investigates and gets to the root of the problem - very dedicated.  I would highly recommend him to anyone! 	5	5	5	5 	Insurance:United Healthcare
2	1	Dr. Ubell now sees all 6 of our children. She has always been willing to go the extra mile for us.  	5	5	5	5 	Insurance:Aetna
2	1	Dr. Ubell is great.  She takes time to listen and really covers a wide range of things at each visit.  Her staff is also great - very comforting to kids and clearly they enjoy what they do.  Other pediatricians in the office have been very responsive for weekend urgent care situations too.  	5	5	5	5 	Insurance:United Healthcare
2	1	Dr ubell is and outstanding pediatrician who really understands kids and the needs of new parents. We absolutely love her and so do my kids. If I call her with a question she always responds within an hour. We have twin daughers with special needs and she always takes the time to answer my questions. I never feel rushed. She is also so supportive of new parents. 	5	5	5	5 	Insurance:Unknown
3	1	Dr. Udlis is the best doctor ever.  He diagnosed my cancer when no one else did.  He saved my life. 	5	5	5	5 	Insurance:Unknown
4	1	She is a wonderful doctor and should be acknowledged. 		5	5	5 	Insurance:Unknown
4	0	I felt that she was a good listener and agreed to perform the laboratory testing as needed. She agreed during my visit that it was likely that I was suffering from acute Lyme disease based on my signs and symptoms. I was very disappointed in her follow up. I had a suprisingly difficult time getting a prescription for doxycycline to treat acute Lyme disease. It took three days of messages (&quot;She is not here today&quot;, &quot;Would you like to leave a message for her nurse&#63;&quot;) to finally get a prescription for doxycycline. 		4	2	3 	Insurance:Unknown
4	0	She's a weird bird. Very quick to send for tests and give referrals but if you go in with a particular issue she'll ask &quot;so what do you want to do about it&#63;&quot;. Not in a nasty tone at all. More of a tone like she is actually asking what should be done. And, I came to the doctor because I DON'T KNOW WHAT TO DO - I'M NOT A DOCTOR! Frustrating 		1	2	3 	Insurance:Unknown
5	-1	Rough handling of me, did not give me options of necessary procedure, made me wait, in tears, at pharmacy for pain medication. Needs to retire. I do not recommend this dentist. 	1	5	1	1 	Insurance:Unknown
5	-1	 	1	1	1	1 	Insurance:Unknown
5	1	Got me in for emergency visit quickly - and referred me to an oral surgeon fast.  Seems competent and friendly - but a little low on the empathy scale.  Like every other dentist in the area, is absolutely unconcerned about the crisis in Medical assistance patients and totally unavailable dental care.  	5	5	4	4 	Insurance:Aetna
6	1	weight program here is the best-the nurse practitioner is the person you see. 	5	4	5	5 	Insurance:Unknown
6	-1	Doctor is on medical leave but still prescibes drugs and patient diet plans without seeing patients. Scary!!!!! 	1	4	1	1 	Insurance:Unknown
6	1	This is the first time in many years I found a doctor who actually listened to me. I cried. I was always unable to lose more than a few lbs. This doctor gave me the way to lose weight by treating me for pre diabetic condition-really ahead of the pack. The weight is still off and I do feel great. I have sent other patients and they are happy too. 	5	5	5	5 	Insurance:Unknown
6	-1	Staff could not fit me in for an appointment in order to refill RX's  and physician refused to fill RX's  until could be seen in office leaving me w/o my RX's for a whole month and some VERY painful and unpleasant (dizziness, shakiness, petite mall seizures daily, and trouble concentrating) side effects. What ever happened to &quot;Do No Harm&quot; Doc&#63; 	1	2	1	3 	Insurance:Unknown
6	-1	Dr, Uebelacker prescribes drugs that should only be taken for a short duration on a long-term basis and seemed unaware that one drug in particular should not be taken on a long-term basis. The doctor refused to answer questions or present facts to support her decisions to put patient on medications for a condition that diet and exercise could have controlled.  The doctor said she has &quot;hundred's lined up to get on her drug combination.&quot; She also refused to re-assess the patient when requested and then terminated care of the patient after a family meeting in which she charged $100 for 15 minutes of her time. I would not recommend this doctor to anyone. 	2	3	1	1 	Insurance:Unknown
7	1	Very friendly staff. Awsome Dr. When i take my daughter in to see him I love how he tells stories of his children in comparison to what my daughter is going through at the time. Most of my inlaws see him as well and I have never heard anything but great from them.  	5	5	5	5 	Insurance:United Healthcare
7	1	Terrific doctor great with seniors very friendly and funny can help relieve tension about illness.   My father never had a better doctor 	5	5	5	5 	Insurance:Humana
7	1	Great listener and repore with children, best healthcare for the whole family.   As my children have grown they are comfortable accessing him themselves and he promotes their role in their own health, awesome 	5	5	5	5 	Insurance:United Healthcare
7	1	Very friendly, very knowledgeable, very willing to answer questions.  Doesn't prescribe things for you that you don't need.  	5	5	5	5 	Insurance:Humana
8	1	Awesome doctor. i have been going to this chiropractor since I was 4 years old and he has always been a very compassionate and caring doctor. He utilizes many new techniques to assist in healing and allignment. 	5	5	5	5 	Insurance:Unknown
