dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr Vijay went above and beyond in caring for my aged Mother. Her caring and professionalism were unmatched. Her knowledge of Alzheimer's Disease made my Mother and I very secure in having her care for Mom. She was available and forthright. Her reatment was excellent and her bedside manner superb. Would recommend Dr Vijay to anyone for themselves, or anyone who loves and cares about an elderly parent, spouse, relative or friend and desires an excellent physician. 	4	4	4	4 	Insurance:Unknown
2	-1	Dr. Verbsky's &quot;rules&quot; on who he deigns to treat are wrong and uncaring. I had to go elsewhere to get the help I so desperately needed, but by then my health had taken a serious and possibly irreversible downturn. He needs to seriously think about why he became a doctor.  I so regret I ever heard of him.  	3	5	1	1 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Verbsky is a smart, caring, and resourceful doctor. He will do anything in his power to help, and is the kind of guy that &quot;puts you at ease&quot;. Overall, a doctor that does his job above the call of duty! 		5	5	5 	Insurance:Unknown
3	1	Very caring and knowledgeable. She spent a lot of time with us and explained things extremely well.  	4	5	5	5 	Insurance:Aetna
4	1	Best Doctor around!  She is so sweet and friendly! When I am being seen I feel like I am her only patient.  She gives her full attention to me and listens to any of my concerns.  I went through two pregnancy's with her  -  one full pregnancy, the second I was living in Nevada and moved back to WI and of course immediately went back to her for the second half of the pregnancy!  Having experienced another doctor in NV that I really didn't care for, made me really appreciate having Dr.  Van Fossen! 	5	5	5	5 	Insurance:Aetna
4	1	I LOVE DR VAN FOSSEN!! She is a wonderful doctor. She has a great bedside manner and always takes the time to see how things are going with you. I never feel rushed. Its like a visit with my best friend..minus the examine :) 	5	5	5	5 	Insurance:Unknown
4	1	Wonderful, knowledgeable, &amp; friendly.  She frequently runs late but it is because she is willing to really take time to see how each patient is doing. 	5	2	5	5 	Insurance:Unknown
4	1	There are no words to describe the care we received from Dr. Van Fossen during my recent high-risk pregnancy.  She took excellent care of me and my baby.  I would recommend Dr Van Fossen to anyone looking for a new OB/GYN doctor.  I have meant NONE comparable to her! 	5	5	5	5 	Insurance:Unknown
4	1	Dr. Van Fossen is BY FAR the BEST physician around!  She is the SWEETEST most KNOWLEDGABLE person.  She takes extra time to make sure that her patients are well taken care of.  She gets my highest regards!  This is my 2nd pregnancy with her and she still is amazing... she made sure that I, being high risk, was under control and as healthy as I could be for my pregnancies.  I never thought that I would've had as healthy a pregnancies as I did with my condition, but Dr. Van Fossen changed that.  She put a smile on my whole families face including mine!!!  Thank you Dr.  Van Fossen for being there and being AWESOME! 	5	5	5	5 	Insurance:United Healthcare
4	1	If you are looking for a great OBGYN...then you've found the best around!  I've recommended Dr. Van Fossen to any friends that are looking for new OB's.  She is really friendly and does go up and beyond the &quot;normal&quot; doctor.  She's delivered both of my babies and I couldn't have asked for a better or more caring doctor.  She truly is the best!! 	5	5	5	5 	Insurance:Unknown
4	1	Intelligent and personable doctor.  Was sincerely interested and concerned about me and my baby.  Took extra time during appointments and even made a few phone calls to me to ensure things were going well.  I think because she gets excited for each patient and tries to take special time with each that she gets behind on appointments. She would take the time you needed, but would be ansy to get to the next patient.  Hands-down an excellent doctor and surgeon.  	5	2	5	5 	Insurance:United Healthcare
4	1	Very personal and helpful doctor.  Great bedside manner as well as competent surgeon.  Sometimes there is a little bit of a wait, but, I think that is due to her taking extra time with her patients.  	5	4	5	5 	Insurance:Humana
4	1	Very nice & she does not make me feel uncomfortable.  		4	4	4 	Insurance:United Healthcare
4	0	my pre-natel visits were at least 15-30 minute wait. Once I got to see her, very very rushed, it almost feels like I'm bothering her. She deliverd me too, she ordered pitocin for me, which cause fetal distress, very hard contractions and my son had a collaped lung and in NICU for 3 days. She said it &quot;happens all the time&quot; IT DOES&#63;&#63; She is nice I can say that.  		1	3	3 	Insurance:Blue Cross / Blue Shield
5	-1	Practically yelling at you while you are in his exam room, will never go back to him again 	1	1	1	1 	Insurance:Unknown
5	1	Always helpful and extremely knowledgeable. very thorough and interested in preventive care. Sometimes hard to get in to see. Very involved with community affairs.  	5	5	5	5 	Insurance:Anthem
6	1	He's been my primary doc for fifteen years.  Very clear in his explanations, always complete in answering my questions.  	4	4	5	5 	Insurance:Medicare
