dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I have had 8 surgeries on my spine and it is worse then when i started. All he wants to do is run up a huge bill.  	2	1	1	1 	Insurance:Humana
1	1	Amazing doctor.   I was in sever pain for 18 months &amp; now I'm completely pain free 10 weeks post-op 3 level lumbar back fusion 	5	3	5	5 	Insurance:AHC
1	-1	This is not the right forum for legal issues. Google WCCA and do a simple search, put in his name, and that should give you enough to run. This man is reckless and only cares about money. Run, while you stil can! 	1	1	1	1 	Insurance:Unknown
1	-1	Cancel appointments and get a better. Opinion,  this one is not it! 	2	1	1	1 	Insurance:Unknown
1	-1	They do not care after your 3 months are up after surgery. They are not helpful at all as far as the assistants go. The front desk help are hardly ever smiling and as far as after surgery and 3 months are up and you are still in pain oh well live with it and as the hospitol stay was horrible.  I was given a bed pan and sat in my own poop for over 20 minutes 	1	1	1	1 	Insurance:Tricare
1	1	Very informative, delayed plans to talk to me. Prescribed a medication that helped in three days.  	4	5	5	5 	Insurance:Humana
1	-1	Can't  believe this guy rated competent. Both head of neuro at Med School of Wis and head of ortho at UW med school think he is incompetent frequently overcharges  Paid  3 million last year for a malpractice case of operation on wrong side, concealment from client, misinformaion to other Docs . How can yu rate this guy competent&#63;&#63;&#63; 	2	4	2	1 	Insurance:Unknown
1	-1	worst mistake I ever made was to see this guy. 	3	1	1	1 	Insurance:Unknown
2	1	Dr. Westreich is a wonderful individual who really cares about his clients and his profession.  I would highly recommend him to anyone looking for a great doctor. 	5	5	5	5 	Insurance:Unknown
2	1	I swore I'd never see a male gynecologist.  After an ER visit one day I really had no choice but to followup with Dr. Westreich.  I was very nervous but too tired of my problem to complain.  My husband came with me for support and I really needed that but Dr. Westreich was fantastic.  He actually listed to me and suggested a good plan of action.  He's the first doctor I've ever met, gyn or otherwise, that has really cared about the patient.  	4	5	5	5 	Insurance:United Healthcare
2	1	 	5	5	5	5 	Insurance:Unknown
3	1	An awesome doctor. Efficient, kind, compassionate, interested in his patients, professional, experienced, and knowledgeable. I'm TTC and Dr. Waters has been very helpful along the way. 	5	5	5	5 	Insurance:Unknown
3	1	I would recommend Dr.Waters to anyone-he's friendly, efficient, easy to talk to, and very thorough. The only reason I had to give only 4 stars for on time was that I had to wait an hour for my procedure because he was busy delivering a baby :) 	5	4	5	5 	Insurance:Unknown
3	1	I used Dean insurance. He is the best OB/GYN I have ever been to. Great bedside manner and professional in the office. Love him 	5	5	5	5 	Insurance:Unknown
