dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	very personable and easy to talk to.  Was very thorough and knowledgable.  	5	5	5	5 	Insurance:Humana
1	0	Did not seem to treat me as human or with any empathy, one who came with burdens and seemed not willing to listen; stopped me from talking when I tried to talk about circumstances surrounding my life that I thought might help her understand what might have been affecting my health.  She turned me off.  I think a breast exam should have been part of the physical, but gave me none.  I would not recommend her to anyone my age, 71.  	5	5	2	4 	Insurance:Medicare
2	-1	She has an attitude. She makes you feel stupid. She repeats herself over and over. She asks the same questions over and over. She was too rough with my baby. She acts all know it all. I felt very uncomfortable. 	5	4	1	1 	Insurance:Unknown
2	0	. I feel that she is not always comfortable talking about some medical situations with the parents regarding ther children 	2	1	2	4 	Insurance:Medicaid / Medi-Cal
2	-1	This doctor does not lisiten to parents concerns. She tells you something along the lines, of &quot;Oh, your child has autistic tendacies.&quot; after panicking and seeking specialists to take care of my child. Which all came back negative (Thank goodness). That is not the issue, the issue I had was when I requested a copy of my childs files in order to take to a psychologist to determine why my child had these behavorial issues (because she wouldn't address those), I recieved my childs file and the majority of the file had derrogetory remarks about Me. &quot;Mom suspects her child is autistic.&quot; Mom gave up on child being autistic&quot;. Umm, I would not have even considered autism if she did not tell me that she thought he was autistic. I will not return to her. 		1	1	2 	Insurance:Unknown
3	1	Dr. Zeeb is one of the best health care professionals I have ever encountered.  He recommended procedures which resulted in a great improvement in my overall health.  His cosmetic ability is impressive and is only surpassed by his honest and warm personality.  I trust him completely with my family's health.  Thank you Dr. Zeeb! 	5	4	5	5 	Insurance:Unknown
3	1	Dr. Zeeb is very gentle and caring. He explained in detail what work I needed to have and the crown looks very natural. I highly recommend him, 		5	5	5 	Insurance:Unknown
4	1	DR Z., is a wonderful Dr. She played a key/significant role in helping me during a terrible time. She looks at &quot;you&quot; the person and not just the clinical data to determine what's going on... She's not a clock watcher -- she gives all her patients the time they need to figure out how to address their health issues best! Thank's Dr. Z., for taking care of me. 	5	5	5	5 	Insurance:Unknown
4	1	Dr. Zaremba is the most caring, helpful and doctor I have ever encountered.  She truly cares about her patients, she is usually late thats because she doesn't rush you out and you never feel hurried, when she is with you she is &quot;with you 100%&quot;. I She knows her drugs and does not push them on you but explains what they do.  	5	4	5	5 	Insurance:Humana
4	1	This is the first doctor I've had in 62 years of my life that actually cares about her patients.  She will talk to you in language you can understand.  She will ask questions and I believe she will always do what is in the best interest of her patients.  Her staff is very professional and courteous.  All are willing to help when needed no matter what.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	She is the best Dr in the world! She has been my Dr for many years, ever since she came to the Burlington clinic. Yes it's true the wait to see her IS LONG, it also is WELL WORTH YOUR WAIT as she is OVERLY KIND AND ABOVE AND BEYOND A CARING DR/PERSON! Her knowledge is unbelievable and she will work hard to help you with all concerns you have. I can talk to her openly and she REALLY CARES about not only medical needs, she also cares 100% about you as a person. Although not medically related I think her accent is awesome. She is just beautiful both on the inside as well as on the outside. I hope I can keep  her as my Dr for as long as I can, she has become an extremely important person within my life.  	5	1	5	5 	Insurance:Medicare
4	1	She is the best Dr. ever. I travel 35 miles to see her and I have no plans on ever changing Doctors as long as she exsepts my inserence.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
4	1	Very very slow office. Nice doctor, but a very long wait. 		3	5	5 	Insurance:Unknown
5	1	Was referred to him from another doctor who couldn't diagnose my problem.  He knew just by looking at my arm that I had multiple problems (tenisinivitis, epocondolitis,etc.)  If it wasn't for him, I'd still be in alot of pain in my arm.  What a God send!! 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Zaide is knowledgeable and friendly.  He took me as a new patient same day as I called.  He knows his stuff, has a sense of humor, and is someone I can feel comfortable with.  His staff were also all friendly and compassionate.  	5	5	5	5 	Insurance:Anthem
6	1	Dr. Zaide helped me through a very difficult time in my life. He is one of the most compassionate and down to earth doctors I've met. Unfortunately he has now moved to Wisconsin and will no longer be my physician. I was lucky to have him as my physician when he was here.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	0	Dr. Zirbel seems a lot more rushed in the amount of patient time than she did a few years ago.  The last appointment she had an assistant do most of the skin treatment, which I was uncomfortable with.  I was not asked if that was alright and was told the assistant would be the one taking care of me.  I used to like Dr. Zirbel, but will be looking for a new dermatologist.  	3	1	2	4 	Insurance:United Healthcare
7	1	While everyone's experience is different,find the negative one hard to believe. Dr. Z was very thorough with me, answered questions, even called back on her non-clinic day. She respected my preference for &quot;low tech&quot; solutions and the overall impact of skin and wound problems.  Definitely recommend.  PS got refered to her by a friend whose malignant melanoma Dr. Z.diagnosed early.  	5	5	5	5 	Insurance:Medicare
7	1	I have been a patient of Dr. Zirbel for the past 10 years.  She always addresses my concerns and is very detailed when examining for skin cancers. I never feel rushed and she is a very calm and polite.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	I almost feel like the other rating listed here is a complete lie. Dr. Zirbel was extremely helpful and compassionate, and was extremely good at comforting me pre/during/post the countless procedures I've had with her. She has always made it a point to have me call if I have any concerns and she was able to get me in very quickly (1-2 days) after I had a cyst appear on my face. I think she understands a lot of the things she treats also have a huge self-esteem impact on patients and therefore does her best to fix any ailments.  I would easily recommend her to anyone! 	5	5	5	5 	Insurance:Unknown
7	-1	Dr Zirbel has no bedside manner. She did not address my concerns and did not perform the services I request. When I asked her some questions about one of my health issues, she brushed me off to another doctor. It was a complete waste of money and time.  I should have known better- I had the same experience the first time I went to her! Don't make the same mistake- twice- as I did!!! 	3	1	1	2 	Insurance:Humana
