dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I was severely injured in an accident and he was the surgeon on call. He was wonderful about dealing with my severe injuries and explaining things to my famil and to me. He was compassionate, helpful and very good at what he did. He performed 6 surgeries to put me bck togehter and I am very pleased I would send anyone to him.  you wioll like him! 	5	5	5	5 	Insurance:United Healthcare
2	1	. Very friendly and very helpful! She listened well to all my needs 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I live 100 miles away, and travel to stick with Dr. Hansen. Him and his staff have always provided the professional care, have been honest, and have excellent bedside manners. He has delivered my only child and performed surgery on me. I have had 2 of the same surgeries prior to seeing Hansen, and the recovery time and scars were not near as great as Hansen did. I will continue to see this doctor for his entire career, even if I move to NY and have to fly back to see him.  Him and his staff deserve 100 stars, they are the best of the best... and I am not easily pleased. My husband has 2 other kids, and he said our sons birth was such a better experience than the other doctor and hospital that his kids were born in. He was also very impressed and recommends him from his experience.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	The staff was great!!!!  Dr. Hansen is the most caring and helpful doctor I have ever seen.  They might run behind schedule, but he will give you all the time you need to have everything answered 	5	3	5	5 	Insurance:Unknown
4	-1	I had a very horrible experience with this doctor, when I was experiencing a hormonal balance that was very traumatic.  I would not recommend him to anyone who is having excessive bleeding. I left his office crying. 	1	5	1	1 	Insurance:Unknown
4	1	I was referred to Dr. Hickner by my family physician when I was diagnosed with cervical dysplasia in 2001. I was facing surgery and very scared. Dr. Hickner was kind and reassuring and 2 days after the surgery called me personally with the test results to tell me the surgery had gone extremely well and not to worry. I haven't worried since and I have been grateful to keep him as my doctor. I highly recommend. 	5	5	5	5 	Insurance:Unknown
4	1	Very good doctor.  Caring and conscientious.  	5	5	5	5 	Insurance:United Healthcare
4	1	I really like this doctor.  He has been very thorough and knowledgeable.  I have a history of uterine fibroids for which I had to have a major surgery several years ago.  He has made sure I keep up on my appointments, ultrasounds, etc.  He asks how I feel about specific symptoms, treatments, etc., rather than just dictating.  He never treats me like I'm asking dumb questions, etc.  	4	3	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	He didnt even examine me when I came in for a second opinion. Just gave me pamphlets and sent me on my way, to come back and visit him a month later ...uh I am sick .. I need answers ..... oh yeah I was charged a co-pay for that too 	1	1	1	1 	Insurance:Unknown
5	1	Dr Hughes is the best eye Doctor in Gillette hands down. He has been the greatest eye Doctor I have ever had. I have been in glasses for more than 40yrs, so I've seen my share of eye doctors in my life. I had lasik done on my eyes because Dr Hughes told me it would be life changing for me. He again was so so right. I can now see 20/15 and I was at -825 to - 850. Now all I need is readers. I would like to thank Dr Hughes and his staff FOR ALL THEY HAVE DONE FOR ME!!! Thank you soooo much 	5	5	5	5 	Insurance:Unknown
5	1	Dr. Hughes is known to be the best eye doctor in Gillette--hands down.  If you want a doctor that will give you a very thorough exam-- he is the one.  The office help did a great job at being very attentive to my needs, and recommending glasses that look fabulous for my face frame.   Excellent experience!! 	5	5	5	5 	Insurance:CIGNA
5	1	Due to an allergic reaction.  Dr. Hughes prescribed some drops, which I will forever be grateful for the relief. 	5	5	5	5 	Insurance:Unknown
5	1	Dr. Hughes and his Staff are amazing.  They have always been so helpful and knowledgeable.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I have been treated in this office for some time. I have always been treated with respect &amp; honesty. The staff have always been very helpful &amp; have been able to take care of my every need. Dr. Hughes has always had my best interests at heart &amp; has always made sure I understood any issue that might have arisen with my eyesight. He has always made time to answer any questions or concerns I might have had. I am grateful to each &amp; everyone for their kindness &amp; attention to my every need. I have never had to wait for more than a few minutes for the doctor. Each time I have needed my glasses fixed or even just cleaned, they always take care of my with a smile. Thank you. 	5	5	5	5 	Insurance:Unknown
5	0	Two new pairs of perscription safety glasses w/ scratch resistant coatings.  Scratched very easily.  Staff initially refused replacement guaranty using the well-practiced &quot;they're scratch resistant, not scratch proof.&quot; I tried to joke, cajole, and push for replacement, and was not abusive and did not raise my voice. I was ultimately successful in getting replacement lenses for both pairs, but was told not to come back.  The staff villified me to the doctor who decided not to keep me as a patient.  He did not take the time to find out my side of the story.  From the time I entered the store to the time I left with my records, I felt that their main goal was to sell more stuff rather than provide eye care. This was the worst experience I have ever had with a health care provider. 	2	5	3	3 	Insurance:Unknown
6	1	. very good and waiting time is short has real concerns for your health 	5	5	5	5 	Insurance:United Healthcare
7	1	You won't find a better doctor.  He has been right when the specialists have been wrong several times in the last 20 years of our family's medical life. 	5	1	5	5 	Insurance:Unknown
7	1	Wonderful caring, knowledgeable doctor. He always gets to know us as humans and how our lives affect our treatments and yes, he puts in long hours and always calls to go over lab results after the office closes. Because he is so popular, bring a good book and expect to wait in a crowded but comfortable waiting (living) room...often as much as two hours. Ask receptionist how far behind he is running and you can get your errands run and return. 	5	1	5	5 	Insurance:Unknown
7	1	one of the most genuine Dr's I've ever met, been seeing him for 30 yrs. It may be difficult to get into his office, but it's cus he's trying to help everyone. he sometimes calls me at 9:30 at night to go over reports.  	4	3	5	5 	Insurance:Assurant
8	1	Very effecient and knowledgable.He has help us in many way and he has done a better job than some specialists we have had. He  is great at answering your questions.  He always gives us great references if we  need them. 	5	5	5	5 	Insurance:Unknown
9	1	Professional, excellent in answering questions 	3	5	5	5 	Insurance:Unknown
9	1	Doctor is very patient with you. Spends a long time talking with you to make sure you understand what is wrong and how he is going to help you. Very helpful and the staff is very understanding. This Doctor is great.  		5	5	5 	Insurance:Medicare
