dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
2	-1	This man is arrogant and tires of treating cronic conditions with ill concealed bordom and annoyance.  Don't go to him, period. 	1	3	1	1 	Insurance:Unknown
3	1	Don is extremely gentle and always treats me great. the downside is that he will not bill insurance, it eventually caused me to find another dentist. 	5	5	5	5 	Insurance:Unknown
4	1	Extremely nice and friendly. One of the best doctors I have ever encountered. He is very professional and is one of the few doctors that listens to his patients. 	5	5	5	5 	Insurance:Unknown
5	1	She is great, very helpful. Made me feel confident and spent a lot of time explaining the procedure. I will go back to her. 	3	5	5	5 	Insurance:Unknown
5	1	I couldn't have asked for a better doctor for my first pregnancy. She answered all my questions thoroughly and provided me with all the information which helped me be prepared. I appreciate her very much.  	4	5	5	5 	Insurance:CIGNA
5	1	She delivered my first baby and was excellent with it and I made sure she delivered my second one 2 years later and she has never steered me wrong on anything!! I trust her more than I have ever trusted a dr. 	5	5	5	5 	Insurance:Unknown
5	1	 	4	5	5	5 	Insurance:Unknown
6	1	Dr Russel was very helpfull.. He is very knowlegable and has the most current tools.  A little on the spendy side but well worth it.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Great surgeon. Good communication.  	4	5	5	5 	Insurance:Veterans Administration
8	1	I have been seeing Dr. Rupp as my primary care physician at the Casper VA for a couple of years. In my experience he is an outstanding physician. He is caring and shows concern for my health. He inspires trust and confidence. He is also warm and likable. Highly recommended. 	4	4	5	5 	Insurance:Unknown
8	1	Dr. Rupp is an amazing Doctor. He goes above and beyond, actually he spoils his patients with time and devotion.  	5	5	5	5 	Insurance:United Healthcare
9	1	Dr Rogers was very thoughtful, and took the time to not only develop a plan of care, she reviewed my history in great detail. 	4	4	5	5 	Insurance:Unknown
9	0	very detailed 	3	3	2	3 	Insurance:Unknown
10	-1	.  	3	1	1	3 	Insurance:Blue Cross / Blue Shield
10	1	Dr Reeb is very knowledgeable and answers all questions.  He takes the time needed to  be sure that you are well taken care of .  Highly recommend him.  	 6/2/10	5	5	5	Insurance:Medicare
10	-1	I have been a patient of Dr Reeb for almost 2 years.  I have between moderate and severe copd and am on oxygen 24/7.  He has never done a pulmonary function test or any other test having to do with my lungs other than 1 chest xray.  He comes in the exam room and studies his computer moniter and seems to be preoccupied more with losing weight than with the copd or associated problems.  	3	2	2	2 	Insurance:CIGNA
10	-1	I went to this Cheyenne Dr. with a &quot;9&quot; pain level in my abdomen.  He did not even do a physical exam (pressing on abdomen ). No blood work was done! The next day in the E.R. of a Pueblo hospital, my LDH was 2579, my CA at 10.4, my AST at 784, ALK PHOS was 162, ALT was 634..these levels were off the chart, and I was at a 50/50 chance of survival-- we found out in just one day after this visit with Dr. Reeb.  Dr. Reeb's treatment for me that day I saw him was to give me a sample of Nexium and sent me on my way; after which I ended up the next day in critical condition in an out of town hospital from Gall Bladder Disease.  My advice&#63;Do not trust any doctor if you come away feeling you were &quot;shorted on your care&quot; and keep your eyes, ears open, go with your gut, and if you aren't sure this doctor did the right thing by you, then see another, don't take a chance.  He is pre-occupied and not focused on you with the exception of when he is looking at his computer mon 	2	2	2	1 	Insurance:Unknown
