dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	 First visit : Doctor answered his cell phone and talked to his wife about a family issue while I was naked and he was doing my pap smear. I had some girl issues and he tried to give me Zoloft and tell me I was depressed so I again reiterated what my issue was and he said no your just depressed.  LOL The whole appointment was pretty much a waste of money and I felt violated after the cell phone call and tacky conversation : F- 	1	2	1	1	Insurance:Blue Cross / Blue Shield
1	1	commentsDr. Scott is very patient, kind, and listens to his clients. I have had two 100% Natural child births with him and he's been wonderful with us. He is respectful of laboring mothers and also supportive of breastfeeding. He has done everything we asked and was willing to discuss our birth plan and questions we had. He is laid-back and practical. We simply love him! 	5	5	5	5	Insurance:Unknown
10	1	commentsDr. Shelton is a great doctor. He has helped me and my family with our eye care a great deal. He is a true professional and I would highly recommend him to anyone needing professional eye care. 	5	5	5	5	Insurance:Unknown
14	1	commentsWonderful doctor, listens carefully to patients and presents treatment options clearly.  Super doctor!!! 	5	5	5	5	Insurance:Unknown
14	1	commentsShe is very very compassionate, spends quality time...that why you usually wait, but it is worth it. Paid/Co-pay:$65	4	1	5	4	Insurance:Unknown
14	1	commentsShe is by far the best doctor I've ever been to.  She really listens and cares.  She will run any test you feel you may need just for your own peace of mind.  She doesn't have a &quot;greater than thou&quot; attitude but talks to you like a caring friend.  Unfortunately her nurse doesn't always get back the first time you call. 	2	3	5	5	Insurance:Unknown
14	1	 Excellent doctor. I have numerous medical issues and she is the first doctor who has taken the time to really listen and when she can't adequately address a specific issue, she gets me to the specialists I've needed. She sometimes runs behind; however, I know that she will take all the time she needs to address all of my issues. (And I usually have quite a list!) She doesn't make you feel rushed. This makes it well worth the wait because you know you matter to her. She even stops to ask about my health when I bring my daughter to her since we are both patients, and she knows I struggle with my health. I would highly recommend this doctor to anyone looking for a new doctor.  	4	3	5	5	Insurance:Medicare
14	1	 She is the best doctor I have ever had.  She takes the time to listen to you and you know you have her full attention and it is very obvious that she cares about her patients.  I had a very tramatic child birth and if I would have had any other doctor I don't think I would of pulled through as well as I did.  She's great.  	5	5	5	5	Insurance:Coventry
14	1	commentsI feel that the doctor always listens to me and takes into consideration what I say. She is willing to refer patients. 		3	5	4	Insurance:Unknown
16	1	commentsBeen to a lot of chiropractors in my lifetime. Dr. Simpson is far above and beyond others I have seen. I appreciate his service to the community. 	5	5	5	5	Insurance:Unknown
20	1	commentsKnowlegable, experienced, and while very friendly and kind, he's also a no BS kind of guy. He always has time to answer questions. As an RN, I trust his care and follow through to several of my family members. Paid/Co-pay:$100	3	3	5	5	Insurance:Unknown
